school_number,name,ward,address,lat,lon,source
409060,久留米西,東久留米市,野火止2-1-44,35.761967,139.512368,P29
409070,田無,西東京市,向台町5-4-34,35.720225,139.528956,P29
409210,小平,小平市,仲町112,35.733032,139.483727,P29
409220,小平西,小平市,小川町1-502-95,35.7256,139.442144,P29
409230,東村山,東村山市,恩多町4-26-1,35.759798,139.476577,P29
409240,国分寺,国分寺市,新町3-2-5,35.712265,139.447774,P29
409250,清瀬,清瀬市,松山3-1-56,35.769649,139.515074,P29
409270,小平南,小平市,上水本町6-21-1,35.711646,139.474999,P29
409280,東村山西,東村山市,富士見町5-4-41,35.749159,139.455188,P29
409410,東久留米総合,東久留米市,幸町5-8-46,35.762128,139.519612,P29
409710,小金井工科,小金井市,本町6-8-9,35.700596,139.501356,P29
409720,田無工科,西東京市,向台町1-9-1,35.720079,139.548622,P29
409730,多摩科学技術,小金井市,本町6-8-9,35.700574,139.5,P29
410020,神代,調布市,若葉町1-46-1,35.657434,139.585926,P29
410030,調布北,調布市,深大寺北町5-39-1,35.680051,139.548616,P29
410040,調布南,調布市,多摩川6-2-1,35.644023,139.539547,P29
410050,狛江,狛江市,元和泉3-9-1,35.627318,139.570376,P29
410210,府中,府中市,栄町3-3-1,35.687647,139.47484,P29
410220,府中東,府中市,押立町4-21,35.656506,139.51529,P29
410230,府中西,府中市,日新町4-6-7,35.671885,139.446487,P29
410240,国立,国立市,東4-25-1,35.688092,139.449063,P29
410250,永山,多摩市,永山5-22,35.614736,139.448559,P29
410410,若葉総合,稲城市,坂浜1434-3,35.618004,139.478833,P29
410610,第五商業,国立市,中3-4-1,35.689265,139.44068,P29
410710,府中工科,府中市,若松町2-19-1,35.672455,139.500421,P29
410810,農業,府中市,寿町1-10-2,35.676619,139.478648,P29
411010,大島,大島町,元町字八重の水127,34.765488,139.359698,P29
411030,新島,新島村,本村4-10-1,34.369064,139.258324,P29
411040,神津,神津島村,神津島村1620,34.202612,139.133982,P29
411910,大島海洋国際,大島町,差木地字下原996-1,34.682409,139.431885,P29
412010,三宅,三宅村,坪田4586,34.058785,139.537764,P29
413010,八丈,八丈町,大賀郷3020,33.107786,139.779196,P29
414010,小笠原,小笠原村,父島字清瀬,27.100331,142.199388,P29
