school_number,school,club,year,meet,text,flag,source
401250,大森,女子バレーボール部,平成30年,東京都大会,実績: 平成30年度 夏季大会ブロック準優勝(東京都ベスト32) 新人リーグ戦優勝 平成31年度 春季リーグ戦優勝 総体予選 5回戦進出(東京都ベスト48) バドミントン部 活動日 月・水・木・金・(土)・日 活動内容 ・基礎練習 ・練習,要確認,https://www.metro.ed.jp/omori-h/school_life/activities.html
401260,田園調布,陸上競技部,令和７年度,東京都大会（予選）,令和７年度はインターハイ地域予選で男子やり投げ８位、女子走り高跳び４位となり東京都大会本選に出場しました,OK,https://www.metro.ed.jp/den-enchofu-h/school_life/activities.html
401410,つばさ総合,弓道部,令和７年度,東京都大会,公式戦で勝ち上がることを目標に日々一生懸命練習しており、令和７年度は東京都国公立大会でベスト16に入ることができました,要確認,https://www.metro.ed.jp/tsubasasogo-h/school_life/activities.html
401410,つばさ総合,ダンス部,令和2年度,全国大会,令和2年度は関東ダンスドリル秋季競技大会HIPHOP女子部門Large編成で2位となり全国大会へ進出しました,OK,https://www.metro.ed.jp/tsubasasogo-h/school_life/activities.html
401520,美原,女子バレーボール部,令和2年度,東京都大会,令和2年度は東京都ベスト16 ・令和3年度は東京都ベスト64 ・令和4年度は総体予選にて東京都ベスト32 に進出,要確認,https://www.metro.ed.jp/mihara-h/school_life/activities.html
401620,大田桜台,硬式テニス部,令和7年度,東京都大会,令和7年度実績 東京都高等学校新人テニス選手権大会 女子シングルス本選出場 都立高校テニス選手権大会 女子シングルス ベスト３２ 東京都旧一学区テニス大会 女子シングルス 優勝 女子ダブルス 3位 女子団体 準優勝 東京都商業高等学校テニ,OK,https://www.metro.ed.jp/otasakuradai-h/school_life/activities.html
401620,大田桜台,女子バレーボール部,令和7年度,,令和7年度商高連大会では準優勝という結果を残しました,OK,https://www.metro.ed.jp/otasakuradai-h/school_life/activities.html
402060,新宿,硬式野球部,令和6年度,東京都大会,会団体ベスト8 硬式野球部 活動日 月水木金(土日はシーズンによって変動) 部員数 3年10人(内MG2人) 2年14人(内MG2人) 1年14人(内MG1人) 活動実績 令和 6年度 春季東京都高等学校野球大会本大会 2回戦 全国高等学校,要確認,https://www.metro.ed.jp/shinjuku-h/school_life/activities.html
402060,新宿,水泳部,令和7年度,東京都大会,10人 3年生（79回生）：12人 計 ：36人（内マネージャー5人 ） 活動実績 令和7年度東京都十六高校対抗水上競技大会 （A決勝 進出、 400m個人メドレー 優勝…） 令和7年度東京都高等学校新人水泳競技大会（A決勝進出） 参加大会,OK,https://www.metro.ed.jp/shinjuku-h/school_life/activities.html
402060,新宿,剣道部,令和5年度,東京都大会,剣道部 活動日 月、火、金、土、（日）…大会等があるとき 部員数 3年生 5人 2年生 3人 １年生 5人 活動実績 令和5年度 全国高校剣道大会都予選 男子団体ベスト32 令和6年度 全国高校剣道大会都予選 男子団体ベスト32 東京都国,要確認,https://www.metro.ed.jp/shinjuku-h/school_life/activities.html
402060,新宿,剣道部,令和7年度,東京都大会（予選）,公立高校剣道大会 男子団体ベスト16 女子団体ベスト8 令和7年度 関東大会個人都予選 3年男子ベスト３２ 全国高校剣道大会 女子都予選出場 弓道部 活動日：月・火・木・金・月二回日曜日(たまに土曜日) 部員数：79回生 1 １名、80回生,要確認,https://www.metro.ed.jp/shinjuku-h/school_life/activities.html
402060,新宿,チアリーディング部,令和5年度,全国大会,ディング選手権大会（関東大会） チアリーディング スピリッツ演技部門 優勝 令和 5年度 ・第 34回全日本高等学校チアリーディング選手権大会 (全国大会) Division1 決勝進出 令和6年 ・令和6年度東京都総合体育大会第11回チア,要確認,https://www.metro.ed.jp/shinjuku-h/school_life/activities.html
402420,世田谷総合,女子バレーボール部,令和5年度,,令和5年度夏季大会ベスト 32・Bブロック第3位 令和5年度新人選手権大会予選リーグ優勝 令和5年度新人選手権大会ベスト80 令和6年度春季大会予選リーグ優勝 令和6年度春季大会ベスト64 顧問 保健体育科 丸本（令和5年度2023.04,要確認,https://www.metro.ed.jp/setagayasogo-h/school_life/activities.html
402530,芦花,弓道部,令和元年度,,令和元年度には念願の全国優勝を果たしました,OK,https://www.metro.ed.jp/roka-h/school_life/activities.html
402620,第一商業,女子バレーボール部,令和4年度,東京都大会,実績 令和4年度 東京都高等学校体育連盟主催新人戦予選大会 第１位 男子バスケットボール部 活動日 月・水・木・金・休日 活動内容 平日：体育館練習、トレーニング 休日：合同練習、練習試合,要確認,https://www.metro.ed.jp/daiichishogyo-h/school_life/activities.html
402620,第一商業,ソフトテニス部,令和4年度,,実績 令和4年度 商高連盟大会 男子ダブルス準優勝 令和2年度 商高連盟大会 男子ダブルス優勝/準優勝、女子ダブルス準優勝 令和元年度 商高連盟大会 男子ダブルス優勝 硬式テニス部 活動日 週4回（月・水・木・土）の練習,要確認,https://www.metro.ed.jp/daiichishogyo-h/school_life/activities.html
402620,第一商業,サッカー部,令和５年度,東京都大会,東京都立商業高校サッカー大会 東京都３地区ユースリーグ３部に所属 実績 令和５年度東京都立商業高等学校サッカー大会優勝 バトン部 活動日 週3回（月・木・金） 活動内容 チアリーディングやバトントワリングの練習（チアリーディングをメインに,要確認,https://www.metro.ed.jp/daiichishogyo-h/school_life/activities.html
402620,第一商業,吹奏楽部,令和4年度,東京都大会,実績 令和4年度 東京都高等学校アンサンブルコンテスト 銀賞 令和4年度 東京都高等学校吹奏楽コンクール 銀賞 写真部 活動日 全体による活動は週1回（金曜日） 活動内容 プロのフォトグラファーに、外部指導員として直接指導してもらっていま,要確認,https://www.metro.ed.jp/daiichishogyo-h/school_life/activities.html
402620,第一商業,簿記研究部,令和4年度,東京都大会,簿記研究部 活動日 個人の学習ペースによる 活動内容 1：授業の予習・復習 2：検定の早期取得 3：簿記競技大会への参加 実績 令和4年度東京都高等学校簿記競技大会 団体戦優勝・個人戦優勝 令和3年度東京都高等学校簿記競技大会 団体戦第二,要確認,https://www.metro.ed.jp/daiichishogyo-h/school_life/activities.html
402620,第一商業,簿記研究部,令和2年度,東京都大会,等・個人戦優勝 令和2年度東京都簿記コンクール新人戦 団体戦第二等・個人戦優勝 令和元年度東京都簿記コンクール新人戦 団体戦第三等 平成31年度東京都簿記コンクール新人戦 団体戦優勝・個人戦優勝 パソコン部 活動日 個人により週1日～週5日,要確認,https://www.metro.ed.jp/daiichishogyo-h/school_life/activities.html
402620,第一商業,パソコン部,令和元年度,,程度 検定や大会前は活動日は多くなる 活動内容 各種パソコン系の資格取得に向けての学習（情報処理検定、ビジネス文書実務検定、ITパスポートなど） ワープロ競技大会への参加 実績 令和元年度全東京高等学校ワープロ競技大会新人戦文書部門団体2位,要確認,https://www.metro.ed.jp/daiichishogyo-h/school_life/activities.html
402930,国際,,令和4年度,東京都大会,家庭科） 令和4年度 STOP! 若者の消費者トラブルCM シナリオ・動画コンテスト 入賞（家庭科） 第10回 SAGE JAPAN CUP準優勝、審査員特別賞、SDGs賞（家庭科） 第73回 東京都高等学校英語 プレイコンテスト 準優勝、,OK,https://kokusai-h.metro.ed.jp/life/club.html
402940,総合芸術,映像放送制作部,平成29年,,受賞歴：平成29年11月11日（土） アジア最大規模の映像コンテスト「第19回 DigiCon6 ASIA」主催 TBS ユース部門銀賞（JAPAN Youth Silver)入賞しました,OK,https://www.metro.ed.jp/sogo-geijutsu-h/school_life/activities.html
403210,石神井,女子バスケットボール部,令和5年度,東京都大会（予選）,女子バスケットボール部 活動日 月・火・水・金・土・(日)（不定期に休日あり） 活動場所 体育館・剣道場・多目的ホール 活動内容・活動報告 令和5年度インターハイ予選3回戦進出、東京都U18ブロックリーグ３位 令和6年度関東予選・インター,要確認,https://www.metro.ed.jp/shakujii-h/school_life/activities.html
403240,練馬,女子バレーボール部,令和７年度,,」 女子バレーボール部 活動日：月・水・金・土・日 人数：21人（３年５人、２年７人、１年９人） 活動内容：パス、基礎練習、スパイク、サーブ、ゲーム、その他 活動実績：令和７年度夏季大会準優勝 サッカー部 部員数 3年 3人 2年生 7人,要確認,https://www.metro.ed.jp/nerima-h/school_life/activities.html
403410,杉並総合,バドミントン部,令和5年度,全国大会,女子チームは令和5年度は目標にしていた西東京ベスト４を達成し、国公立で行われる全国大会にも、西東京唯一の代表として出場することができました,要確認,https://www.metro.ed.jp/suginamisogo-h/school_life/activities.html
403630,第四商業,サッカー部,令和８年度,,サッカー部 部員数（令和８年度） 男子：４名 活動日 月・火・木・金 土or日に練習試合もしくは公式戦 活動内容 令和元年度は商業大会で2度目の優勝を果たし、今年度は3年ぶりに高体連主催の大会で勝利を収めることができました,要確認,https://www.metro.ed.jp/daiyonsyogyo-h/school_life/activities.html
403810,農芸,男子バスケットボール部,令和７年度,東京都大会（予選）,３ 活動実績 ４月 関東予選 （東京都高体連主催） ５月 インターハイ予選 （東京都高体連主催） ６月 農業大会 （令和７年度３位入賞） １０月 新人戦支部大会 （東京都高体連主催） １２月 農業大会 ２月 杉並大会 ４ 中学生部活動体験,OK,https://www.metro.ed.jp/nogei-h/school_life/activities.html
404040,豊島,吹奏楽部,令和６年度,東京都大会,生徒会 豊島高校部活動方針 部活動 吹奏楽部 活動日 火・水・金・土・日 主な活動場所 音楽室・一般教室 昨年度（令和６年度）の活動実績 ・東京都高等学校吹奏楽コンクール A組 金賞・代表（５年連続都大会出場） B組 金賞 C組 金賞・最優,要確認,https://www.metro.ed.jp/toshima-h/school_life/activities.html
404040,豊島,陸上競技部,令和7年度,東京都大会,実績 新人戦4回戦、都立個人戦5回戦、秋季団体戦ベスト16 指導者 顧問（３名）、部活動指導員（１名） 陸上競技部 活動日 月・火・水・金・土 主な活動場所 グラウンド・外周・城北公園 他 過去の大会実績 令和7年度の実績 ・支部予選大会,要確認,https://www.metro.ed.jp/toshima-h/school_life/activities.html
404040,豊島,陸上競技部,令和6年度,東京都大会,"男子100m、女子砲丸投げ都大会出場 ・豊島区民駅伝 女子優勝 女子1,2,3区、男子4区区間賞 ・目白ロードレース 高校生～30歳未満女子5.2km 3位、5位 令和6年度の実績 ・豊島区民駅伝 女子優勝 男子３位 ・昭和記念公園リレーマ",OK,https://www.metro.ed.jp/toshima-h/school_life/activities.html
404040,豊島,軟式野球部,令和元年度,東京都大会,火・水・金・土・日 主な活動場所 旧上板橋二中・旭丘中・近隣都立高校 過去の大会実績 令和元年度夏季選手権大会都ベスト4 令和2年度春季大会都ベスト16 バドミントン部 活動日 月・火・木・金・土 ※水曜日・日曜日はオフ 週2日の休養日は確,要確認,https://www.metro.ed.jp/toshima-h/school_life/activities.html
404040,豊島,女子バスケットボール部,令和５年度,,女子バスケットボール部 活動日 火・水・木・金・土・日 主な活動場所 体育館・柔道場・トレーニングルーム・外部体育館 過去の大会実績 令和５年度 新人大会都ベスト３２ 令和５年度 春季大会都ベスト３２ 令和６年度 新人大会都ベスト３２ 令,要確認,https://www.metro.ed.jp/toshima-h/school_life/activities.html
404040,豊島,女子バスケットボール部,令和６年度,,和６年度 春季大会都ベスト３２ 令和６年度 総合体育大会都ベスト３２ 令和７年度 新人大会都ベスト１６ 令和７年度 春季大会都ベスト１６ 文化・スポーツ特別推薦を実施しています,要確認,https://www.metro.ed.jp/toshima-h/school_life/activities.html
404040,豊島,柔道部,令和5年度,東京都大会（予選）,水・金・土 主な活動場所 柔道場 過去の大会実績（令和5年度） 〇第71回関東大会東京都予選会 女子団体戦出場／女子個人戦-52kg級第9位／女子個人戦+78kg級出場 〇第72回総合体育大会東京都予選会 男子個人戦-100kg級出場／女,要確認,https://www.metro.ed.jp/toshima-h/school_life/activities.html
404210,北園,男子バスケットボール部,令和6年度,東京都大会,男子バスケットボール部 【活動日】 体育館練：月・木・金・土(日) 外練（ウェイトトレーニング等）：水 【活動内容】 令和6年度からバスケットボール専門の顧問とコーチ(部活動指導員)のもと、 東京都ベスト３２ を目標にチーム一丸となり日々,要確認,https://www.metro.ed.jp/kitazono-h/school_life/activities.html
404260,高島,高島高校ソフトテニス部,令和8年度,東京都大会（予選）,令和8年度 〈男子〉 インターハイ予選（団体） ベスト4,OK,https://www.metro.ed.jp/takashima-h/school_life/activities.html
404260,高島,高島高校ソフトテニス部,令和7年度,東京都大会（予選）,関東大会予選（個人） ベスト128 2組 令和7年度 〈男子〉 国公立大会 個人戦 準優勝,OK,https://www.metro.ed.jp/takashima-h/school_life/activities.html
404260,高島,卓球部,令和７年度,東京都大会（予選）,＜令和７年（2025）度＞ 国公立大会 女子シングルス ブロック ベスト８ ／全体 ベスト16 関東大会予選男子ダブルス ベスト６４ 関東大会予選学校対抗（男子団体） ベスト３２ 総体男子ダブルス ベスト６４ 総体女子ダブルス ブロック,OK,https://www.metro.ed.jp/takashima-h/school_life/activities.html
404520,板橋有徳,吹奏楽部,令和７年度,東京都大会,【令和７年度活動実績】 ・第65回東京都高等学校吹奏楽コンクール C組 金賞 【令和６年度活動実績】 ・第64回東京都高等学校吹奏楽コンクール C組 銅賞 ・令和6年度東京都高等学校文化祭 音楽部門 第4地区大会 出演 ・第48回東京都高,要確認,https://www.metro.ed.jp/itabashiyutoku-h/school_life/activities.html
405060,上野,ソフトテニス部,令和4年度,,経験者も未経験者も大歓迎です!! 実績 令和4年度 新人戦ベスト６４（女子） 卓球部 活動日 水・木・土（トレーニングルーム） 活動内容 少人数ですが、先輩後輩の仲も良く、和気藹々と活動しています,要確認,https://www.metro.ed.jp/ueno-h/school_life/activities.html
405060,上野,バレーボール部,令和4年度,東京都大会,実績 令和4年度 春季大会予選リーグ１位通過本線出場 令和4年度 新人戦予選リーグ１位通過本線２回戦 令和4年度 公立校大会支部予選通過決勝大会出場 令和5年度 公立校大会支部予選通過決勝大会出場 令和6年度 春季大会予選リーグ１位通過本,要確認,https://www.metro.ed.jp/ueno-h/school_life/activities.html
