school_number,school,club,year,meet,text,flag,source
406210,深川,剣道部,令和８年度,関東大会,女子は令和８年度は東京都第８位となり、関東大会出場（1３年連続）を決めました,OK,https://www.metro.ed.jp/fukagawa-h/school_life/activities.html
406250,江戸川,江戸川高校野球部,令和８年度,東京都大会,令和８年度春季東京都高等学校野球大会本大会ベスト32 第107回全国高等学校野球選手権大会東東京大会ベスト８ 令和７年度春季東京都高等学校野球大会本大会ベスト16（夏の大会シード権獲得） ソフトボール部 活動場所 グラウンド 活動紹介・実,要確認,https://www.metro.ed.jp/edogawa-h/school_life/activities.html
406250,江戸川,女子バスケットボール部,令和７年度,東京都大会（予選）,令和７年度東京都総体兼インターハイ予選ベスト32 令和７年度東京都夏季大会Ｂブロック優勝 令和６年度東京都高等学校女子バスケットボール新人大会ベスト32 女子バレーボール部 活動場所 体育館 活動紹介・実績 女子バレーボール部は関東大会出,要確認,https://www.metro.ed.jp/edogawa-h/school_life/activities.html
406250,江戸川,女子バレーボール部,令和７年度,東京都大会（予選）,令和７年度東京都高等学校春季大会兼関東大会予選ベスト32 江戸川区総合体育祭春季大会・秋季大会優勝 新人選手権大会ベスト32 ハンドボール部 活動場所 グラウンド 活動紹介・実績 ハンドボールは知っている人が少なく、高校から始める人がほと,要確認,https://www.metro.ed.jp/edogawa-h/school_life/activities.html
406250,江戸川,ハンドボール部,令和７年度,東京都大会（予選）,令和７年度関東大会都予選ベスト８ 令和７年度インターハイ都予選ベスト８ 弓道部 活動場所 弓道場 活動紹介・実績 週５日間練習をしていて、初心者でも安心して始めることができます,要確認,https://www.metro.ed.jp/edogawa-h/school_life/activities.html
406250,江戸川,弓道部,令和５年度,関東大会,令和５年度東京都個人選手権大会女子６位入賞 令和５年度秋季大会女子個人４位入賞 関東高等学校弓道個人選手権選抜大会出場 全国高等学校弓道選抜大会女子個人準決勝進出 陸上競技部 活動場所 奥戸にある競技場、校内の体育館棟・土手 活動紹介・実,要確認,https://www.metro.ed.jp/edogawa-h/school_life/activities.html
406250,江戸川,サッカー部,令和６年度,東京都大会,令和６年度東京都高等学校総合体育大会１次トーナメント出場（東京都ベスト64） 令和６年度リバーサイドユースリーグ １部所属 ソフトテニス部 活動場所 テニスコート 活動紹介・実績 ソフトテニス部です,要確認,https://www.metro.ed.jp/edogawa-h/school_life/activities.html
406250,江戸川,男子硬式テニス部,令和６年度,東京都大会,令和６年度 六学区都立高校テニス大会 準優勝 女子硬式テニス部 活動場所 テニスコート 活動紹介・実績 女子硬式テニス部では、みんなで切磋琢磨しながら、楽しく活動しています,要確認,https://www.metro.ed.jp/edogawa-h/school_life/activities.html
406250,江戸川,女子硬式テニス部,令和６年度,東京都大会,令和６年度東京都立高等学校テニス選手権大会ダブルスベスト32 令和７年度６学区都立高校テニス大会３位 男子バスケットボール部 活動場所 体育館 活動紹介・実績 短い練習時間の中で、集中しながら質の高い練習に取り組んでいます,要確認,https://www.metro.ed.jp/edogawa-h/school_life/activities.html
406250,江戸川,水泳部,令和元年度,関東大会,"令和元年度 六学区水泳記録会 総合２位 令和２年度 チャレンジ大会 出場 令和元年度 六学区水泳記録会 総合２位 令和２年度 チャレンジ大会 出場 令和４年度 東京都高等学校選手権大会 男子1,500ｍ自由形 第８位(関東大会出場権獲得)",要確認,https://www.metro.ed.jp/edogawa-h/school_life/activities.html
406250,江戸川,卓球部,令和５年度,東京都大会,令和５年度春季６学区大会シングルス優勝 令和６年度新人大会団体ベスト32 令和７年度東京都春季大会団体ベスト32 剣道部 活動場所 剣道場 活動紹介・実績 少ない人数ですが、お互い仲が良く、楽しく活動しています,要確認,https://www.metro.ed.jp/edogawa-h/school_life/activities.html
406280,篠崎,吹奏楽部,令和７年度,,令和７年度は１１名でコンクールに参加し、好成績でゴールド金賞を受賞することができました,OK,https://www.metro.ed.jp/shinozaki-h/school_life/activities.html
406280,篠崎,吹奏楽部,令和６年度,,令和６年度 コンクールＣ組 銀賞、アンサンブルコンテスト 銀賞 高文連 地区大会・中央大会 参加 令和７年度 コンクールＣ組 金賞 、アンサンブルコンテスト 銀賞 高文連 地区大会・中央大会 参加 軽音楽部 【活動日】（月）・火 ・水,要確認,https://www.metro.ed.jp/shinozaki-h/school_life/activities.html
