station_name,lat,lon
蓮根,35.7843,139.679
蓮沼,35.5642,139.7085
蔵前,35.7032,139.7909
虎ノ門,35.6702,139.7498
虎ノ門ヒルズ,35.6674,139.7478
表参道,35.6652,139.7123
西ケ原,35.746,139.7423
西ヶ原四丁目,35.7445,139.7328
西八王子,35.6566,139.3126
西台,35.787,139.674
西国分寺,35.6997,139.466
西国立,35.6938,139.4239
西大井,35.6016,139.7217
西大島,35.6893,139.8262
西太子堂,35.6445,139.6664
西小山,35.6155,139.6987
西巣鴨,35.7435,139.7287
西府,35.6709,139.4575
西新井,35.7773,139.7904
西新井大師西,35.7815,139.7701
西新宿,35.6943,139.6928
西新宿五丁目,35.6898,139.6843
西日暮里,35.732,139.7669
西早稲田,35.7082,139.7091
西武園,35.7677,139.4489
西武新宿,35.6963,139.7
西武柳沢,35.7286,139.5525
西武立川,35.7262,139.3701
西永福,35.6789,139.6349
西立川,35.7035,139.3936
西荻窪,35.7038,139.5994
西葛西,35.6646,139.8593
西調布,35.6572,139.5298
西馬込,35.5869,139.7059
西高島平,35.7918,139.6459
要町,35.7332,139.6987
見沼代親水公園,35.8145,139.7707
調布,35.6522,139.544
護国寺,35.719,139.7275
谷保,35.6814,139.4467
谷在家,35.7888,139.77
豊島園,35.7421,139.648
豊洲,35.6549,139.7962
豊田,35.6595,139.3815
豪徳寺,35.6538,139.6474
赤土小学校前,35.7425,139.769
赤坂,35.6732,139.7383
赤坂見附,35.677,139.737
赤羽,35.778,139.7209
赤羽岩淵,35.7834,139.7221
赤羽橋,35.655,139.7436
越中島,35.6679,139.7927
足立小台,35.7547,139.7704
軍畑,35.8074,139.2074
辰巳,35.6456,139.8105
都庁前,35.6906,139.6926
都立大学,35.6178,139.6764
都立家政,35.7223,139.6448
都電雑司ヶ谷,35.7243,139.718
野方,35.7197,139.6527
金町,35.7696,139.8705
銀座,35.672,139.764
銀座一丁目,35.6743,139.767
錦糸町,35.6968,139.8141
鐘ヶ淵,35.7337,139.8203
長原,35.6022,139.6979
長沼,35.6428,139.3658
門前仲町,35.6719,139.7962
阿佐ケ谷,35.7048,139.6359
雑司が谷,35.7202,139.7148
雑色,35.5497,139.715
雪が谷大塚,35.592,139.6811
霞ケ関,35.6738,139.7509
青井,35.7718,139.8204
青山一丁目,35.6728,139.7242
青梅,35.7905,139.2581
青梅街道,35.731,139.4766
青海,35.6247,139.7811
青物横丁,35.6094,139.743
青砥,35.7459,139.8563
面影橋,35.713,139.7144
飛田給,35.6601,139.5237
飛鳥山,35.7502,139.7374
飯田橋,35.7018,139.7451
馬喰横山,35.6921,139.7828
馬喰町,35.6934,139.7824
馬込,35.5964,139.7118
駒場東大前,35.6587,139.6843
駒沢大学,35.6335,139.6617
駒込,35.7368,139.7481
高井戸,35.6833,139.6151
高円寺,35.7053,139.6497
高尾,35.642,139.2823
高尾山口,35.6324,139.2699
高島平,35.7891,139.6612
高幡不動,35.6624,139.413
高松,35.7102,139.4132
高田馬場,35.7127,139.7037
高輪ゲートウェイ,35.6355,139.7408
高輪台,35.6317,139.7303
高野,35.7684,139.7707
鬼子母神前,35.7204,139.7149
鮫洲,35.605,139.7422
鳩ノ巣,35.8151,139.1289
鵜の木,35.5755,139.6806
鶯谷,35.7215,139.778
鶴川,35.5831,139.4818
鷹の台,35.7231,139.4612
鷺ノ宮,35.7226,139.6389
麹町,35.684,139.7376
麻布十番,35.6547,139.7371
