school_number,school,year,meet,sport,event,division,rank,source
402030,駒場,令和6年度,東京都高等学校文化祭 演劇部門 中央大会（都大会）,演劇,都大会2024《B：福生会場》【結果】,,豊博秋記念舞台美術賞,東京都高校演劇研究会 都大会 結果
409040,保谷,令和7年度,東京都高等学校文化祭 演劇部門 中央大会（都大会）,演劇,都大会2025《A日程》【結果】,,優秀賞（上演順）,東京都高校演劇研究会 都大会 結果
404640,千早,令和7年度,東京都高等学校文化祭 演劇部門 中央大会（都大会）,演劇,都大会2025《B日程》【結果】,,優秀賞（上演順）,東京都高校演劇研究会 都大会 結果
407100,南平,令和7年度,東京都高等学校文化祭 演劇部門 中央大会（都大会）,演劇,都大会2025《A日程》【結果】,,優秀賞（上演順）,東京都高校演劇研究会 都大会 結果
402060,新宿,令和7年度,東京都高等学校文化祭 演劇部門 中央大会（都大会）,演劇,都大会2025《A日程》【結果】,,優秀賞（上演順）,東京都高校演劇研究会 都大会 結果
408040,昭和,令和7年度,東京都高等学校文化祭 演劇部門 中央大会（都大会）,演劇,都大会2025《B日程》【結果】,,優秀賞（上演順）,東京都高校演劇研究会 都大会 結果
408040,昭和,令和7年度,東京都高等学校文化祭 演劇部門 中央大会（都大会）,演劇,都大会2025《B日程》【結果】,,生徒審査員賞,東京都高校演劇研究会 都大会 結果
406220,東,令和7年度,東京都高等学校文化祭 演劇部門 中央大会（都大会）,演劇,都大会2025《A日程》【結果】,,落合矯一賞／東京都高等学校文化連盟会長賞（サマーフェスティバル推薦）,東京都高校演劇研究会 都大会 結果
409230,東村山,令和7年度,東京都高等学校文化祭 演劇部門 中央大会（都大会）,演劇,都大会2025《B日程》【結果】,,全国高等学校演劇協議会長賞／審査員特別賞／東京都教育委員会賞（南関東大会推薦）,東京都高校演劇研究会 都大会 結果
402210,松原,令和7年度,東京都高等学校文化祭 演劇部門 中央大会（都大会）,演劇,都大会2025《A日程》【結果】,,優秀賞（上演順）,東京都高校演劇研究会 都大会 結果
402210,松原,令和7年度,東京都高等学校文化祭 演劇部門 中央大会（都大会）,演劇,都大会2025《A日程》【結果】,,榊原政常記念創作脚本賞,東京都高校演劇研究会 都大会 結果
404220,板橋,令和7年度,東京都高等学校文化祭 演劇部門 中央大会（都大会）,演劇,都大会2025《B日程》【結果】,,優秀賞（上演順）,東京都高校演劇研究会 都大会 結果
405230,淵江,令和7年度,東京都高等学校文化祭 演劇部門 中央大会（都大会）,演劇,都大会2025《B日程》【結果】,,優秀賞（上演順）,東京都高校演劇研究会 都大会 結果
407030,片倉,令和7年度,東京都高等学校文化祭 演劇部門 中央大会（都大会）,演劇,都大会2025《B日程》【結果】,,優秀賞（上演順）,東京都高校演劇研究会 都大会 結果
401260,田園調布,令和7年度,東京都高等学校文化祭 演劇部門 中央大会（都大会）,演劇,都大会2025《B日程》【結果】,,東京都高等学校演劇研究会賞,東京都高校演劇研究会 都大会 結果
403060,豊多摩,令和7年度,東京都高等学校文化祭 演劇部門 中央大会（都大会）,演劇,都大会2025《B日程》【結果】,,優秀賞（上演順）,東京都高校演劇研究会 都大会 結果
402030,駒場,令和7年度,東京都高等学校文化祭 演劇部門 中央大会（都大会）,演劇,都大会2025《B日程》【結果】,,東京都高等学校演劇研究会長賞／東京都教育委員会賞（北関東大会推薦）,東京都高校演劇研究会 都大会 結果
402030,駒場,令和7年度,東京都高等学校文化祭 演劇部門 中央大会（都大会）,演劇,都大会2025《B日程》【結果】,,榊原政常記念創作脚本賞,東京都高校演劇研究会 都大会 結果
