school_number,school,year,meet,sport,event,division,rank,source
409040,保谷,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/8048f64de0e35faf3b1e3242a3a4515a.pdf
409070,田無,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/3b7f8c5af57b6c3a70ddb9864e824e68-1.pdf
409070,田無,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/b4e7c00ade28fec9b7e02142c8914e3a-1.pdf
409070,田無,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/13C.pdf
409070,田無,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/7d680b3494d788f321dd9ce6cce6ee74.pdf
409210,小平,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,A組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/9fda05990901427f29b02340979df9b4.pdf
409210,小平,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,A組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/b6f95390732796040c9ac7d5976206f3.pdf
409210,小平,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,A組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/10A.pdf
409210,小平,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,A組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/1b8c17a4b0186dfeff3c5501deff8f23.pdf
409220,小平西,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/3b7f8c5af57b6c3a70ddb9864e824e68-1.pdf
