raw_name,normalized,org_type,schools,variants_in_group,decided_by
軟式野球部,軟式野球,部,18,2,auto
軟式野球同好会,軟式野球,同好会,1,2,auto
イラスト部,イラスト,部,16,1,auto
囲碁将棋部,囲碁将棋,部,10,3,auto
囲碁・将棋部,囲碁将棋,部,5,3,auto
囲碁将棋同好会,囲碁将棋,同好会,1,3,auto
音楽部,音楽,部,13,3,auto
音楽部（オーケストラ班・合唱班）,音楽,,1,3,auto
音楽同好会,音楽,同好会,1,3,auto
百人一首同好会,百人一首,同好会,7,3,auto
百人一首部,百人一首,部,7,3,auto
百人一首,百人一首,,1,3,auto
女子ハンドボール部,女子ハンドボール,部,14,1,auto
自然科学部,自然科学,部,9,2,auto
自然科学同好会,自然科学,同好会,4,2,auto
コンピュータ部,コンピュータ,部,11,2,auto
コンピュータ同好会,コンピュータ,同好会,2,2,auto
筝曲部,筝曲,部,11,2,auto
筝曲同好会,筝曲,同好会,2,2,auto
山岳部,山岳,部,13,1,auto
箏曲部,箏曲,部,10,2,auto
箏曲,箏曲,,2,2,auto
料理部,料理,部,10,2,auto
料理同好会,料理,同好会,2,2,auto
男子ハンドボール部,男子ハンドボール,部,12,1,auto
コーラス部,コーラス,部,11,1,auto
化学部,化学,部,9,3,auto
化学班,化学,班,1,3,auto
化学同好会,化学,同好会,1,3,auto
競技かるた部,競技かるた,部,8,2,auto
競技かるた同好会,競技かるた,同好会,3,2,auto
茶華道部,茶華道,部,11,1,auto
女子バレー部,女子バレー,部,7,2,auto
女子バレー,女子バレー,,2,2,auto
料理研究部,料理研究,部,8,2,auto
料理研究同好会,料理研究,同好会,1,2,auto
男子バスケット部,男子バスケット,部,7,2,auto
男子バスケット,男子バスケット,,2,2,auto
男子テニス部,男子テニス,部,9,1,auto
男子バドミントン部,男子バドミントン,部,9,1,auto
女子バドミントン部,女子バドミントン,部,9,1,auto
フォークソング部,フォークソング,部,7,2,auto
フォークソング部,フォークソング,部,1,2,auto
フットサル部,フットサル,部,4,3,auto
フットサル同好会,フットサル,同好会,3,3,auto
フットサル,フットサル,,1,3,auto
チアリーディング部,チアリーディング,部,7,2,auto
チアリーディング,チアリーディング,,1,2,auto
空手道部,空手道,部,8,1,auto
トレーニング同好会,トレーニング,同好会,7,2,auto
トレーニング部,トレーニング,部,1,2,auto
女子ソフトボール部,女子ソフトボール,部,7,2,auto
ソフトボール部（女子）,女子ソフトボール,,1,2,auto
女子テニス部,女子テニス,部,8,1,auto
クイズ研究部,クイズ研究,部,4,2,auto
クイズ研究同好会,クイズ研究,同好会,3,2,auto
男子バレー部,男子バレー,部,5,3,auto
男子バレー,男子バレー,,1,3,auto
男子バレー同好会,男子バレー,同好会,1,3,auto
かるた同好会,かるた,同好会,4,3,auto
かるた部,かるた,部,2,3,auto
かるた,かるた,,1,3,auto
イラストレーション部,イラストレーション,部,7,1,auto
簿記部,簿記,部,7,1,auto
映画研究部,映画研究,部,6,2,auto
映画研究,映画研究,,1,2,auto
女子バスケット部,女子バスケット,部,5,2,auto
女子バスケット,女子バスケット,,2,2,auto
歴史研究同好会,歴史研究,同好会,4,2,auto
歴史研究部,歴史研究,部,3,2,auto
ワンダーフォーゲル部,ワンダーフォーゲル,部,5,2,auto
ワンダーフォーゲル部,ワンダーフォーゲル,部,1,2,auto
弦楽部,弦楽,部,3,4,auto
弦楽班,弦楽,班,1,4,auto
弦楽,弦楽,,1,4,auto
弦楽同好会,弦楽,同好会,1,4,auto
地学部,地学,部,4,2,auto
地学同好会,地学,同好会,2,2,auto
自転車競技同好会,自転車競技,同好会,3,2,auto
自転車競技部,自転車競技,部,3,2,auto
自動車部,自動車,部,6,1,auto
体操部,体操,部,5,2,auto
体操同好会,体操,同好会,1,2,auto
模型部,模型,部,6,1,auto
漫画部,漫画,部,4,2,auto
