school_number,name,station,mode,ride_min,walk_min,total_min,alight_stop,detail,source_url
402810,園芸,桜新町,bus,,,,,東急バス利用の場合,https://www.metro.ed.jp/engei-he/access/access.html
402810,園芸,桜新町,bus,10,5,15,日本体育大学前,→桜新町駅からバス10分、「日本体育大学前」下車徒歩5分,https://www.metro.ed.jp/engei-he/access/access.html
402810,園芸,梅ヶ丘,bus,30,3,33,園芸高校前,→梅ヶ丘駅からバス30分、「園芸高校前」下車徒歩3分,https://www.metro.ed.jp/engei-he/access/access.html
402810,園芸,三軒茶屋,bus,,,,,「東急バス(渋82）等々力行き」は、渋谷・三軒茶屋・駒澤大学駅からも乗車できます。,https://www.metro.ed.jp/engei-he/access/access.html
402810,園芸,用賀,bus,,,,,「東急バス(等12）成城学園前駅行き」は、用賀駅からも乗車できます。,https://www.metro.ed.jp/engei-he/access/access.html
405230,淵江,秋葉原,bus,25,,25,,秋葉原からTX線・バスで25分,https://www.metro.ed.jp/fuchie-h/access/access.html
405230,淵江,西日暮里,bus,21,,21,,西日暮里から千代田線・TX線・バスで21分,https://www.metro.ed.jp/fuchie-h/access/access.html
410210,府中,北府中,walk,,12,12,,JR武蔵野線 北府中駅から 徒歩12分,https://www.metro.ed.jp/fuchu-h/access/access.html
410210,府中,府中,bus,,,,,京王線 府中駅北口からバス,https://www.metro.ed.jp/fuchu-h/access/access.html
410210,府中,国分寺,bus,7,,7,,「（寺91系統） 国分寺駅南口行」バス7分,https://www.metro.ed.jp/fuchu-h/access/access.html
410210,府中,国分寺,bus,,5,,明星学苑,「明星学苑」下車、徒歩5分,https://www.metro.ed.jp/fuchu-h/access/access.html
410210,府中,国立,bus,,,,,JR中央線 国立駅南口からバス,https://www.metro.ed.jp/fuchu-h/access/access.html
410210,府中,府中,bus,,6,,第九小学校,「第九小学校」下車、徒歩6分,https://www.metro.ed.jp/fuchu-h/access/access.html
410220,府中東,武蔵野台,walk,,15,15,,京王線 武蔵野台駅・飛田給駅 徒歩15分,https://www.metro.ed.jp/fuchuhigashi-h/access/access.html
410220,府中東,白糸台,walk,,25,25,,西武鉄道多摩川線 白糸台駅 徒歩25分,https://www.metro.ed.jp/fuchuhigashi-h/access/access.html
410710,府中工科,東府中,bus,,10,,,京王線 「東府中駅」北口下車徒歩10分,https://www.metro.ed.jp/fuchukoka-h/access/access.html
410710,府中工科,武蔵小金井,bus,15,,15,府中工業高校,JR中央線 「武蔵小金井駅」南口より東府中行バス15分（「府中工業高校」下車 ）,https://www.metro.ed.jp/fuchukoka-h/access/access.html
410230,府中西,西府,walk,,15,15,,JR南武線「西府」駅より 徒歩15分,https://www.metro.ed.jp/fuchunishi-h/access/access.html
410230,府中西,国立,bus,15,,15,,「聖蹟桜ヶ丘駅行き」バス15分,https://www.metro.ed.jp/fuchunishi-h/access/access.html
410230,府中西,国立,bus,,1,,府中西高校入口,「府中西高校入口」下車徒歩１分,https://www.metro.ed.jp/fuchunishi-h/access/access.html
410230,府中西,聖蹟桜ヶ丘,bus,15,,15,,「国立駅行き」バス15分,https://www.metro.ed.jp/fuchunishi-h/access/access.html
410230,府中西,聖蹟桜ヶ丘,bus,,1,,府中西高校入口,「府中西高校入口」下車徒歩１分,https://www.metro.ed.jp/fuchunishi-h/access/access.html
403020,富士,中野富士見町,walk,,1,1,,東京メトロ丸ノ内線「中野富士見町」駅より徒歩1分,https://www.metro.ed.jp/fuji-s/access/access.html
403020,富士,新宿,bus,,,,,（南口ターミナル1番線 京王バス 渋63渋谷駅行・新45新宿駅西口行,https://www.metro.ed.jp/fuji-s/access/access.html
403020,富士,新宿,bus,,2,,中野車庫,「中野車庫」下車徒歩2分又は「富士高校」下車徒歩1分,https://www.metro.ed.jp/fuji-s/access/access.html
403020,富士,幡ヶ谷,bus,,1,,富士高校,（京王バス 渋63中野駅行）「富士高校」下車徒歩1分,https://www.metro.ed.jp/fuji-s/access/access.html
403020,富士,笹塚,bus,10,4,14,笹塚中学,京王線「笹塚」駅から徒歩4分「笹塚中学」バス停から10分,https://www.metro.ed.jp/fuji-s/access/access.html
403020,富士,笹塚,bus,,1,,富士高校,（京王バス 渋63・宿45中野駅行「富士高校」下車徒歩1分）,https://www.metro.ed.jp/fuji-s/access/access.html
403020,富士,中野,bus,,2,,中野車庫,（中71中野駅行「中野車庫」下車徒歩2分,https://www.metro.ed.jp/fuji-s/access/access.html
407020,富士森,西八王子,walk,,13,13,,JR西八王子駅下車、北口より徒歩１３分,https://www.metro.ed.jp/fujimori-h/access/access.html
407020,富士森,西八王子,bus,5,1,6,富士森高校,西東京バス、西八王子駅（北口）または中央図書館前より富士森高校経由長房団地ゆき・城山手ゆき約５分「富士森高校」下車、徒歩１分（本校経由のみ利用）,https://www.metro.ed.jp/fujimori-h/access/access.html
407020,富士森,京王八王子,bus,25,1,26,富士森高校,西東京バス、京王八王子駅または、JR八王子北口より富士森高校経由長房団地ゆき・城山手ゆき約２５分「富士森高校」下車、徒歩１分（本校経由のみ利用）,https://www.metro.ed.jp/fujimori-h/access/access.html
406210,深川,東陽町,walk,,2,2,,東京メトロ東西線東陽町駅１番出口から 徒歩２分,https://www.metro.ed.jp/fukagawa-h/access/access.html
406210,深川,錦糸町,bus,,1,,江東区役所前,JR 錦糸町駅南口より都バス【東22】東陽町駅または東京駅丸の内北口行き「江東区役所前」下車徒歩１分,https://www.metro.ed.jp/fukagawa-h/access/access.html
406210,深川,錦糸町,bus,,,,,【主要駅からのバス所要時間】 ※時間帯により多少時間が掛かることがあります。,https://www.metro.ed.jp/fukagawa-h/access/access.html
402270,深沢,桜新町,walk,,15,15,,・東急田園都市線 桜新町駅（徒歩１５分）,https://www.metro.ed.jp/fukasawa-h/access/access.html
402270,深沢,桜新町,bus,,,,,南口を上がったところに東急バス黒０７のバス停があります。,https://www.metro.ed.jp/fukasawa-h/access/access.html
408230,福生,牛浜,bus,20,12,32,,JR青梅線利用の場合福生駅より徒歩12分、牛浜駅からだと20分、バスを利用する場合は「 永田橋（別ウインドウが開きます）,https://www.metro.ed.jp/fussa-h/access/access.html
408230,福生,八王子,bus,,6,,大和田坂上,JR中央線 豊田駅北口から 八王子駅北口行バスで「大和田坂上」下車、徒歩6分,https://www.metro.ed.jp/fussa-he/access/access.html
408230,福生,八王子,bus,,6,,旭ヶ丘中央公園,または平山工業団地循環バスで「旭ヶ丘中央公園」下車、徒歩6分,https://www.metro.ed.jp/fussa-he/access/access.html
408230,福生,北八王子,walk,,11,11,,JR八高線 北八王子駅から徒歩11分,https://www.metro.ed.jp/fussa-he/access/access.html
407040,八王子東,北八王子,walk,,11,11,,JR八高線「北八王子」駅から徒歩11分,https://www.metro.ed.jp/hachiojihigashi-h/access/access.html
407040,八王子東,京王八王子,bus,,,,,JR中央線「八王子」駅北口・「京王八王子」駅からバス,https://www.metro.ed.jp/hachiojihigashi-h/access/access.html
407040,八王子東,日野,bus,,6,,大和田坂上,日野台経由日野駅または豊田駅北口行バスで「大和田坂上」下車、徒歩6分,https://www.metro.ed.jp/hachiojihigashi-h/access/access.html
407040,八王子東,豊田,bus,,20,,,JR中央線「豊田」駅北口からバス、徒歩20分,https://www.metro.ed.jp/hachiojihigashi-h/access/access.html
407040,八王子東,八王子,bus,,6,,大和田坂上,八王子駅北口行バスで「大和田坂上」下車、徒歩6分,https://www.metro.ed.jp/hachiojihigashi-h/access/access.html
407040,八王子東,八王子,bus,,6,,旭が丘中央公園,平山工業団地循環バスで「旭が丘中央公園」下車、徒歩6分,https://www.metro.ed.jp/hachiojihigashi-h/access/access.html
407050,八王子北,八王子,bus,,,,,北口バス乗り場（7）（川口小学校行・上川霊園行・今熊行・武蔵五日市行・サマーランド行）,https://www.metro.ed.jp/hachiojikita-h/access/access.html
407050,八王子北,八王子,bus,,,,楢原町,「楢原町」下車,https://www.metro.ed.jp/hachiojikita-h/access/access.html
407050,八王子北,西八王子,bus,,,,,北口を出て右手バス乗り場（1）（市役所経由楢原町行・川口小学校行）,https://www.metro.ed.jp/hachiojikita-h/access/access.html
407050,八王子北,西八王子,bus,,,,楢原町,「楢原町」下車,https://www.metro.ed.jp/hachiojikita-h/access/access.html
