school_number,school,year,meet,sport,event,division,rank,source
409280,東村山西,令和8年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
407070,松が谷,令和6年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
407070,松が谷,令和7年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
407070,松が谷,令和8年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
402210,松原,令和6年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
402210,松原,令和7年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
402210,松原,令和8年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
404220,板橋,令和6年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
404520,板橋有徳,令和7年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
404520,板橋有徳,令和8年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
402220,桜町,令和6年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
402220,桜町,令和7年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
402220,桜町,令和8年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
406910,橘,令和8年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
409010,武蔵,令和7年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
409010,武蔵,令和8年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
403030,武蔵丘,令和6年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
403030,武蔵丘,令和7年度,日本高校ダンス部選手権 全国準決勝大会,ダンス,,,全国準決勝進出,日本高校ダンス部選手権（ダンススタジアム）大会結果
403030,武蔵丘,令和7年度,日本高校ダンス部選手権 東京都大会,ダンス,,,3位,日本高校ダンス部選手権（ダンススタジアム）大会結果
403030,武蔵丘,令和8年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
408070,武蔵村山,令和6年度,日本高校ダンス部選手権 全国準決勝大会,ダンス,,,全国準決勝進出,日本高校ダンス部選手権（ダンススタジアム）大会結果
408070,武蔵村山,令和6年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
408070,武蔵村山,令和7年度,日本高校ダンス部選手権 全国準決勝大会,ダンス,,,全国準決勝進出,日本高校ダンス部選手権（ダンススタジアム）大会結果
408070,武蔵村山,令和7年度,日本高校ダンス部選手権 東京都大会,ダンス,,,準優勝,日本高校ダンス部選手権（ダンススタジアム）大会結果
408070,武蔵村山,令和8年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
406250,江戸川,令和6年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
406250,江戸川,令和7年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
406250,江戸川,令和8年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
406210,深川,令和6年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
402270,深沢,令和6年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
402270,深沢,令和7年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
402270,深沢,令和8年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
405230,淵江,令和7年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
409250,清瀬,令和6年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
409250,清瀬,令和7年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
409250,清瀬,令和8年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
410050,狛江,令和6年度,日本高校ダンス部選手権 全国決勝大会,ダンス,,,全国決勝進出,日本高校ダンス部選手権（ダンススタジアム）大会結果
410050,狛江,令和6年度,日本高校ダンス部選手権 全国準決勝大会,ダンス,,,全国準決勝進出,日本高校ダンス部選手権（ダンススタジアム）大会結果
410050,狛江,令和6年度,日本高校ダンス部選手権 東京都大会,ダンス,,,都大会出場,日本高校ダンス部選手権（ダンススタジアム）大会結果
410050,狛江,令和7年度,日本高校ダンス部選手権 全国決勝大会,ダンス,,,7位,日本高校ダンス部選手権（ダンススタジアム）大会結果
410050,狛江,令和7年度,日本高校ダンス部選手権 全国準決勝大会,ダンス,,,全国準決勝進出,日本高校ダンス部選手権（ダンススタジアム）大会結果
410050,狛江,令和7年度,日本高校ダンス部選手権 東京都大会,ダンス,,,優勝,日本高校ダンス部選手権（ダンススタジアム）大会結果
410050,狛江,令和8年度,日本高校ダンス部選手権 全国準決勝大会,ダンス,,,全国準決勝進出,日本高校ダンス部選手権（ダンススタジアム）大会結果
410050,狛江,令和8年度,日本高校ダンス部選手権 東京都大会,ダンス,,,優勝,日本高校ダンス部選手権（ダンススタジアム）大会結果
404420,王子総合,令和6年度,日本高校ダンス部選手権 全国準決勝大会,ダンス,,,全国準決勝進出,日本高校ダンス部選手権（ダンススタジアム）大会結果
