school_number,name,slug,access_text,source_url
406210,深川,fukagawa-h,"路線案内
東京メトロ東西線東陽町駅１番出口から 徒歩２分
JR 錦糸町駅南口より都バス【東22】東陽町駅または東京駅丸の内北口行き「江東区役所前」下車徒歩１分
【主要駅からのバス所要時間】 ※時間帯により多少時間が掛かることがあります。
JR総武線・JR横須賀線・東京メトロ半蔵門線より 都営バス15分
都営地下鉄新宿線・東京メトロ半蔵門線より 都営バス10分
都営地下鉄大江戸線・東京メトロ東西線より 都営バス15分
【バスルート】
停留所
行き先停留所
錦糸町駅～亀戸駅通り～境川～門前仲町
・錦糸町駅前
（木11甲）東陽七～新木場駅～東陽七
（木11折）東陽町駅～新木場駅～東陽町駅
（木11折）東陽町駅～新木場駅～若洲キャンプ場
・潮見駅前
東陽町駅～新砂二～新東京郵便局～潮見駅
・亀戸駅前
東陽町駅～大島駅～亀戸駅
東大島駅～東陽町駅～木場駅～門前仲町
・東大島駅前
・東京駅北口
錦糸町駅～東陽町駅～日本橋～東京駅北口
・錦糸町駅前
東大島駅～東陽町駅～木場駅～門前仲町
・東大島駅前
・東京駅北口
錦糸町駅～東陽町駅～日本橋～東京駅北口
・錦糸町駅前",https://www.metro.ed.jp/fukagawa-h/access/access.html
402270,深沢,fukasawa-h,"路線案内
・東急田園都市線 桜新町駅（徒歩１５分）
南口を上がったところに東急バス黒０７のバス停があります。
徒歩の場合は、バス停を見ながら進み、KALDIと三井住友銀行の間を曲がると、サザエさん通りに出ます。",https://www.metro.ed.jp/fukasawa-h/access/access.html
408230,福生,fussa-h,"路線案内
JR青梅線利用の場合福生駅より徒歩12分、牛浜駅からだと20分、バスを利用する場合は「 永田橋（別ウインドウが開きます）
」バス停が永田橋付近に、別系統で体育館の手前に「 中福生（別ウインドウが開きます）
」バス停、その先、多摩橋のたもとに「 市営プール（別ウインドウが開きます）
」バス停があります。
※注記：バス停名をクリックすると利用できるバス路線が確認できます。（外部リンク）",https://www.metro.ed.jp/fussa-h/access/access.html
408230,福生,fussa-he,"路線案内
JR中央線 豊田駅北口から 八王子駅北口行バスで「大和田坂上」下車、徒歩6分
または平山工業団地循環バスで「旭ヶ丘中央公園」下車、徒歩6分
JR八高線 北八王子駅から徒歩11分",https://www.metro.ed.jp/fussa-he/access/access.html
413010,八丈,hachijo-h,"八丈島空港より 車5分（徒歩20分）
八丈島底土港より 車10分（徒歩40分）",https://www.metro.ed.jp/hachijo-h/access/access.html
413010,八丈,hachijo-he,"八丈島空港より 車5分（徒歩20分）
八丈島底土港より 車10分（徒歩40分）",https://www.metro.ed.jp/hachijo-he/access/access.html
407040,八王子東,hachiojihigashi-h,"路線案内
JR八高線「北八王子」駅から徒歩11分
JR中央線「八王子」駅北口・「京王八王子」駅からバス
日野台経由日野駅または豊田駅北口行バスで「大和田坂上」下車、徒歩6分
JR中央線「豊田」駅北口からバス、徒歩20分
八王子駅北口行バスで「大和田坂上」下車、徒歩6分
平山工業団地循環バスで「旭が丘中央公園」下車、徒歩6分",https://www.metro.ed.jp/hachiojihigashi-h/access/access.html
407050,八王子北,hachiojikita-h,"JR八王子駅からのご利用
北口バス乗り場（7）（川口小学校行・上川霊園行・今熊行・武蔵五日市行・サマーランド行）
「楢原町」下車
楢原町バス停より徒歩7分
JR西八王子駅からのご利用
北口を出て右手バス乗り場（1）（市役所経由楢原町行・川口小学校行）
「楢原町」下車
楢原町バス停より徒歩7分",https://www.metro.ed.jp/hachiojikita-h/access/access.html
407520,八王子拓真,hachiojitakushin-he,"ＪＲ西八王子駅から徒歩約８分、京王線 山田駅から徒歩約２０分
京王八王子駅をご利用の方へ
京王八王子駅をご利用の方は、次のいずれかをお選びいただければ便利です。
ＪＲ八王子駅まで徒歩８分、中央線で西八王子駅下車
京王八王子駅１番バスのりばで長房団地行き、城山手行きまたは館ヶ丘団地行きに乗り、 西八王子駅入口下車（約１０分間隔で発車、所要時間１１分）、
千人町交差点を右に折れ、御所水通りを富士森公園方向に徒歩約７分
※ バス利用の方は交通事情により遅延する場合があります。",https://www.metro.ed.jp/hachiojitakushin-he/access/access.html
408050,拝島,haijima-h,"路線案内
拝島駅より
バスで拝島大師まで10分、拝島大師より徒歩3分
徒歩で27分
昭島駅より
徒歩で23分
立川駅より
バスで拝島大師まで25分、拝島大師より徒歩3分",https://www.metro.ed.jp/haijima-h/access/access.html
