slug,school_number,name,uniform_url
fuchie-h,405230,淵江,https://www.metro.ed.jp/fuchie-h/school_life/symbols.html
adachinishi-h,405240,足立西,https://www.metro.ed.jp/adachinishi-h/school_life/symbols.html
adachihigashi-h,405250,足立東,https://www.metro.ed.jp/adachihigashi-h/school_life/symbols.html
aoi-h,405260,青井,https://www.metro.ed.jp/aoi-h/school_life/symbols.html
adachishinden-h,405270,足立新田,https://www.metro.ed.jp/adachishinden-h/school_life/symbols.html
harumisogo-h,405410,晴海総合,https://www.metro.ed.jp/harumisogo-h/school_life/symbols.html
odaibashi-he,405420,小台橋,https://www.metro.ed.jp/odaibashi-he/school_life/symbols.html
asakusa-he,405520,浅草,https://www.metro.ed.jp/asakusa-he/our_school/symbols.html
kuramaekoka-h,405710,蔵前工科,https://www.metro.ed.jp/kuramaekoka-h/school_life/symbols.html
arakawakoka-h,405720,荒川工科,https://www.metro.ed.jp/arakawakoka-h/school_life/symbols.html
adachikoka-h,405730,足立工科,https://www.metro.ed.jp/adachikoka-h/school_life/symbols.html
ryogoku-h,406010,両国,https://www.metro.ed.jp/ryogoku-h/school_life/symbols.html
sumidagawa-h,406020,墨田川,https://www.metro.ed.jp/sumidagawa-h/school_life/symbols.html
honjo-h,406030,本所,https://www.metro.ed.jp/honjo-h/school_life/symbols.html
katsushikano-h,406040,葛飾野,https://www.metro.ed.jp/katsushikano-h/school_life/symbols.html
minamikatsushika-h,406050,南葛飾,https://www.metro.ed.jp/minamikatsushika-h/school_life/symbols.html
nihonbashi-h,406070,日本橋,https://www.metro.ed.jp/nihonbashi-h/school_life/symbols.html
fukagawa-h,406210,深川,https://www.metro.ed.jp/fukagawa-h/school_life/symbols.html
higashi-h,406220,東,https://www.metro.ed.jp/higashi-h/school_life/symbols.html
joto-h,406230,城東,https://www.metro.ed.jp/joto-h/school_life/symbols.html
komatsugawa-h,406240,小松川,https://www.metro.ed.jp/komatsugawa-h/school_life/symbols.html
edogawa-h,406250,江戸川,https://www.metro.ed.jp/edogawa-h/school_life/symbols.html
koiwa-h,406260,小岩,https://www.metro.ed.jp/koiwa-h/school_life/symbols.html
kasaiminami-h,406270,葛西南,https://www.metro.ed.jp/kasaiminami-h/school_life/symbols.html
shinozaki-h,406280,篠崎,https://www.metro.ed.jp/shinozaki-h/school_life/symbols.html
momijigawa-h,406290,紅葉川,https://www.metro.ed.jp/momijigawa-h/school_life/symbols.html
oedo-he,406410,大江戸,https://www.metro.ed.jp/oedo-he/school_life/symbols.html
katsushikasogo-h,406420,葛飾総合,https://www.metro.ed.jp/katsushikasogo-h/school_life/symbols.html
honjokoka-he,406720,本所工科,https://www.metro.ed.jp/honjokoka-he/our_school/symbols.html
sumidakoka-h,406730,墨田工科,https://www.metro.ed.jp/sumidakoka-h/school_life/symbols.html
kasaikoka-h,406760,葛西工科,https://www.metro.ed.jp/kasaikoka-h/school_life/symbols.html
nosan-h,406810,農産,https://www.metro.ed.jp/nosan-h/school_life/symbols.html
tachibana-h,406910,橘,https://www.metro.ed.jp/tachibana-h/school_life/symbols.html
fujimori-h,407020,富士森,https://www.metro.ed.jp/fujimori-h/school_life/symbols.html
katakura-h,407030,片倉,https://www.metro.ed.jp/katakura-h/school_life/symbols.html
hachiojihigashi-h,407040,八王子東,https://www.metro.ed.jp/hachiojihigashi-h/school_life/symbols.html
hachiojikita-h,407050,八王子北,https://www.metro.ed.jp/hachiojikita-h/school_life/symbols.html
matsugaya-h,407070,松が谷,https://www.metro.ed.jp/matsugaya-h/school_life/symbols.html
hino-h,407080,日野,https://www.metro.ed.jp/hino-h/school_life/symbols.html
hinodai-h,407090,日野台,https://www.metro.ed.jp/hinodai-h/school_life/symbols.html
minamidaira-h,407100,南平,https://www.metro.ed.jp/minamidaira-h/school_life/symbols.html
machida-h,407210,町田,https://www.metro.ed.jp/machida-h/school_life/symbols.html
nozuta-h,407230,野津田,https://www.metro.ed.jp/nozuta-h/school_life/symbols.html
naruse-h,407240,成瀬,https://www.metro.ed.jp/naruse-h/school_life/symbols.html
ogawa-h,407250,小川,https://www.metro.ed.jp/ogawa-h/school_life/symbols.html
yamasaki-h,407260,山崎,https://www.metro.ed.jp/yamasaki-h/school_life/symbols.html
machidasogo-h,407420,町田総合,https://www.metro.ed.jp/machidasogo-h/school_life/symbols.html
shoyo-h,407510,翔陽,https://www.metro.ed.jp/shoyo-h/school_life/symbols.html
hachiojitakushin-he,407520,八王子拓真,https://www.metro.ed.jp/hachiojitakushin-he/our_school/symbols.html
machidakoka-h,407720,町田工科,https://www.metro.ed.jp/machidakoka-h/school_life/symbols.html
tachikawa-h,408010,立川,https://www.metro.ed.jp/tachikawa-h/school_life/symbols.html
sunagawa-hc,408030,砂川,https://www.metro.ed.jp/sunagawa-hc/school_life/symbols.html
showa-h,408040,昭和,https://www.metro.ed.jp/showa-h/school_life/symbols.html
haijima-h,408050,拝島,https://www.metro.ed.jp/haijima-h/school_life/symbols.html
higashiyamato-h,408060,東大和,https://www.metro.ed.jp/higashiyamato-h/school_life/symbols.html
musashimurayama-h,408070,武蔵村山,https://www.metro.ed.jp/musashimurayama-h/school_life/symbols.html
higashiyamatominami-h,408090,東大和南,https://www.metro.ed.jp/higashiyamatominami-h/school_life/symbols.html
tama-h,408210,多摩,https://www.metro.ed.jp/tama-h/school_life/symbols.html
fussa-h,408230,福生,https://www.metro.ed.jp/fussa-h/school_life/symbols.html
akirudai-h,408240,秋留台,https://www.metro.ed.jp/akirudai-h/school_life/symbols.html
hamura-h,408250,羽村,https://www.metro.ed.jp/hamura-h/school_life/symbols.html
omesogo-h,408420,青梅総合,https://www.metro.ed.jp/omesogo-h/school_life/symbols.html
tachikawamidori-he,408430,立川緑,https://www.metro.ed.jp/tachikawamidori-he/our_school/symbols.html
josui-h,408510,上水,https://www.metro.ed.jp/josui-h/school_life/symbols.html
tamakoka-h,408710,多摩工科,https://www.metro.ed.jp/tamakoka-h/school_life/symbols.html
mizuhonogei-h,408820,瑞穂農芸,https://www.metro.ed.jp/mizuhonogei-h/school_life/symbols.html
musashi-h,409010,武蔵,https://www.metro.ed.jp/musashi-h/school_life/symbols.html
musashinokita-h,409020,武蔵野北,https://www.metro.ed.jp/musashinokita-h/school_life/symbols.html
koganeikita-h,409030,小金井北,https://www.metro.ed.jp/koganeikita-h/school_life/symbols.html
hoya-h,409040,保谷,https://www.metro.ed.jp/hoya-h/school_life/symbols.html
kurumenishi-h,409060,久留米西,https://www.metro.ed.jp/kurumenishi-h/school_life/symbols.html
tanashi-h,409070,田無,https://www.metro.ed.jp/tanashi-h/school_life/symbols.html
kodaira-h,409210,小平,https://www.metro.ed.jp/kodaira-h/school_life/symbols.html
kodairanishi-h,409220,小平西,https://www.metro.ed.jp/kodairanishi-h/school_life/symbols.html
higashimurayama-h,409230,東村山,https://www.metro.ed.jp/higashimurayama-h/school_life/symbols.html
kokubunji-h,409240,国分寺,https://www.metro.ed.jp/kokubunji-h/school_life/symbols.html
kiyose-h,409250,清瀬,https://www.metro.ed.jp/kiyose-h/school_life/symbols.html
kodairaminami-h,409270,小平南,https://www.metro.ed.jp/kodairaminami-h/school_life/symbols.html
higashimurayamanishi-h,409280,東村山西,https://www.metro.ed.jp/higashimurayamanishi-h/school_life/symbols.html
higashikurumesogo-h,409410,東久留米総合,https://www.metro.ed.jp/higashikurumesogo-h/school_life/symbols.html
koganeikoka-he,409710,小金井工科,https://www.metro.ed.jp/koganeikoka-he/our_school/symbols.html
tanashikoka-h,409720,田無工科,https://www.metro.ed.jp/tanashikoka-h/school_life/symbols.html
tamakagakugijutsu-h,409730,多摩科学技術,https://www.metro.ed.jp/tamakagakugijutsu-h/school_life/symbols.html
jindai-h,410020,神代,https://www.metro.ed.jp/jindai-h/school_life/symbols.html
chofukita-h,410030,調布北,https://www.metro.ed.jp/chofukita-h/school_life/symbols.html
chofuminami-h,410040,調布南,https://www.metro.ed.jp/chofuminami-h/school_life/symbols.html
komae-h,410050,狛江,https://www.metro.ed.jp/komae-h/school_life/symbols.html
fuchu-h,410210,府中,https://www.metro.ed.jp/fuchu-h/school_life/symbols.html
fuchuhigashi-h,410220,府中東,https://www.metro.ed.jp/fuchuhigashi-h/school_life/symbols.html
fuchunishi-h,410230,府中西,https://www.metro.ed.jp/fuchunishi-h/school_life/symbols.html
kunitachi-h,410240,国立,https://www.metro.ed.jp/kunitachi-h/school_life/symbols.html
nagayama-h,410250,永山,https://www.metro.ed.jp/nagayama-h/school_life/symbols.html
wakabasogo-h,410410,若葉総合,https://www.metro.ed.jp/wakabasogo-h/school_life/symbols.html
fuchukoka-h,410710,府中工科,https://www.metro.ed.jp/fuchukoka-h/school_life/symbols.html
nogyo-h,410810,農業,https://www.metro.ed.jp/nogyo-h/school_life/symbols.html
oshima-h,411010,大島,https://www.metro.ed.jp/oshima-h/school_life/symbols.html
niijima-h,411030,新島,https://www.metro.ed.jp/niijima-h/school_life/symbols.html
miyake-h,412010,三宅,https://www.metro.ed.jp/miyake-h/school_life/symbols.html
hachijo-h,413010,八丈,https://www.metro.ed.jp/hachijo-h/school_life/symbols.html
ogasawara-h,414010,小笠原,https://www.metro.ed.jp/ogasawara-h/school_life/symbols.html
