学校番号,所在地区市町村,学校名,全日制/学科/大学科,全日制/学科/小学科,全日制/生徒数/計,全日制/生徒数/１学年,全日制/生徒数/２学年,全日制/生徒数/３学年,全日制/学級数/計,全日制/学級数/１学年,全日制/学級数/２学年,全日制/学級数/３学年,教員数,職員数
403010,中野区,鷺宮,普,普通科,805,277,269,259,21,7,7,7,48,6
403020,中野区,富士,普,普通科,418,157,151,110,11,4,4,3,34,3
403030,中野区,武蔵丘,普,普通科,947,318,321,308,24,8,8,8,52,4
403040,杉並区,荻窪,…,…,…,…,…,…,…,…,…,…,…,…
403050,杉並区,西,普,普通科,952,318,325,309,24,8,8,8,56,4
403060,杉並区,豊多摩,普,普通科,949,323,306,320,24,8,8,8,52,6
403070,杉並区,杉並,普,普通科,937,317,316,304,24,8,8,8,53,6
403210,練馬区,石神井,普,普通科,871,278,278,315,22,7,7,8,48,4
403220,練馬区,井草,普,普通科,859,279,274,306,22,7,7,8,50,5
403230,練馬区,大泉,普,普通科,366,156,110,100,10,4,3,3,30,3
403240,練馬区,練馬,普,普通科,676,238,224,214,18,6,6,6,43,5
403250,練馬区,光丘,普,普通科,607,204,212,191,18,6,6,6,42,5
403280,練馬区,田柄,普,普通科,442,160,165,117,15,5,5,5,47,4
403410,杉並区,杉並総合,総,総合学科,696,237,231,228,18,6,6,6,50,4
403420,中野区,稔ヶ丘,…,…,…,…,…,…,…,…,…,…,…,…
403510,練馬区,大泉桜,普,普通科（単位制）,564,196,194,174,15,5,5,5,44,5
403630,練馬区,第四商業,商,ビジネス科,459,155,151,153,15,5,5,5,39,4
403710,中野区,中野工科,工,キャリア技術科,95, -, -,95,4, -, -,4,50,4
403710,中野区,中野工科,工,食品サイエンス科,235,123,112, -,8,4,4, -, -, -
403720,杉並区,杉並工科,工,機械科,20, -, -,20,2, -, -,2,44,4
403720,杉並区,杉並工科,工,電子科,25, -, -,25,1, -, -,1, -, -
403720,杉並区,杉並工科,工,理工環境科,17, -, -,17,1, -, -,1, -, -
403720,杉並区,杉並工科,工,ＩＴ・環境科,123,57,66, -,8,4,4, -, -, -
403730,練馬区,練馬工科,工,キャリア技術科,418,130,157,131,15,5,5,5,57,4
403810,杉並区,農芸,農,園芸科学科,108,36,37,35,3,1,1,1,47,7
403810,杉並区,農芸,農,緑地環境科,95,35,34,26,3,1,1,1, -, -
403810,杉並区,農芸,農,食品科学科,198,71,62,65,6,2,2,2, -, -
404010,文京区,竹早,普,普通科,738,274,238,226,19,7,6,6,45,4
404020,文京区,向丘,普,普通科,863,277,277,309,22,7,7,8,52,4
404040,豊島区,豊島,普,普通科,945,318,315,312,24,8,8,8,54,5
404050,豊島区,文京,普,普通科,1043,357,349,337,27,9,9,9,65,4
404210,板橋区,北園,普,普通科,951,319,322,310,24,8,8,8,54,4
404220,板橋区,板橋,普,普通科,860,280,278,302,22,7,7,8,46,5
404250,板橋区,大山,普,普通科,478,152,160,166,17,5,6,6,44,4
404260,板橋区,高島,普,普通科,934,318,312,304,24,8,8,8,52,4
404410,北区,桐ヶ丘,…,…,…,…,…,…,…,…,…,…,…,…
404420,北区,王子総合,総,総合学科,691,237,235,219,18,6,6,6,53,4
404510,北区,飛鳥,普,普通科（単位制）,690,233,230,227,18,6,6,6,46,5
404520,板橋区,板橋有徳,普,普通科（単位制）,557,194,188,175,15,5,5,5,42,4
404640,豊島区,千早,商,ビジネスコミュニケーション科,607,213,200,194,18,6,6,6,53,4
404710,文京区,工芸,工,マシンクラフト科,106,36,35,35,3,1,1,1,53,8
404710,文京区,工芸,工,インテリア科,105,35,34,36,3,1,1,1, -, -
404710,文京区,工芸,工,デザイン科,107,36,36,35,3,1,1,1, -, -
404710,文京区,工芸,工,グラフィックアーツ科,106,36,35,35,3,1,1,1, -, -
404710,文京区,工芸,工,アートクラフト科,104,36,34,34,3,1,1,1, -, -
404730,板橋区,北豊島工科,工,総合技術科,86, -, -,86,4, -, -,4,42,4
404730,板橋区,北豊島工科,工,都市防災技術科,171,94,77, -,8,4,4, -, -, -
404910,北区,赤羽北桜,家,調理科,103,36,34,33,3,1,1,1,51,5
404910,北区,赤羽北桜,家,保育・栄養科,325,108,106,111,12,4,4,4, -, -
404910,北区,赤羽北桜,福,介護福祉科,79,34,18,27,3,1,1,1, -, -
405040,台東区,白鴎,普,普通科,432,154,146,132,12,4,4,4,37,5
405050,台東区,忍岡,普,普通科（単位制）,453,156,151,146,12,4,4,4,48,4
405050,台東区,忍岡,家,生活科学科（単位制）,198,66,68,64,6,2,2,2, -, -
405060,台東区,上野,普,普通科,936,321,311,304,24,8,8,8,52,4
405070,荒川区,竹台,普,普通科,754,235,268,251,20,6,7,7,47,5
405210,足立区,足立,普,普通科,842,275,305,262,22,7,8,7,48,7
405210,足立区,足立,…,…,…,…,…,…,…,…,…,…,…,…
405220,足立区,江北,普,普通科,933,316,311,306,24,8,8,8,56,4
405230,足立区,淵江,普,普通科,676,214,223,239,19,6,6,7,42,5
405240,足立区,足立西,普,普通科,570,196,192,182,15,5,5,5,38,4
405250,足立区,足立東,普,普通科,527,188,183,156,15,5,5,5,48,4
405260,足立区,青井,普,普通科,388,125,150,113,16,6,5,5,40,4
405270,足立区,足立新田,普,普通科,787,274,263,250,21,7,7,7,49,4
405410,中央区,晴海総合,総,総合学科,819,277,277,265,21,7,7,7,57,4
405420,足立区,小台橋,…,…,…,…,…,…,…,…,…,…,…,…
405520,台東区,浅草,…,…,…,…,…,…,…,…,…,…,…,…
405710,台東区,蔵前工科,工,機械科,165,47,66,52,6,2,2,2,53,5
405710,台東区,蔵前工科,工,電気科,103,34,35,34,3,1,1,1, -, -
405710,台東区,蔵前工科,工,建築科,94,33,33,28,3,1,1,1, -, -
405710,台東区,蔵前工科,工,設備工業科,75,22,30,23,3,1,1,1, -, -
405720,荒川区,荒川工科,工,電気科,87,34,27,26,3,1,1,1,45,4
405720,荒川区,荒川工科,工,電子科,45,4,16,25,3,1,1,1, -, -
405720,荒川区,荒川工科,工,情報技術科,116,45,27,44,6,2,2,2, -, -
405730,足立区,足立工科,工,総合技術科,272,121,99,52,12,4,4,4,39,5
406010,墨田区,両国,普,普通科,379,156,113,110,10,4,3,3,30,4
406020,墨田区,墨田川,普,普通科（単位制）,935,318,317,300,24,8,8,8,60,4
406030,墨田区,本所,普,普通科,744,239,234,271,19,6,6,7,42,4
406040,葛飾区,葛飾野,普,普通科,939,318,314,307,24,8,8,8,51,4
406050,葛飾区,南葛飾,普,普通科,686,235,232,219,18,6,6,6,46,5
406070,墨田区,日本橋,普,普通科,734,238,230,266,19,6,6,7,42,4
406210,江東区,深川,普,外国語コース,239,82,79,78,6,2,2,2,52,4
406210,江東区,深川,普,普通科,713,241,237,235,18,6,6,6, -, -
406220,江東区,東,普,普通科,777,239,273,265,20,6,7,7,46,4
406230,江東区,城東,普,普通科,989,316,360,313,25,8,9,8,59,4
406240,江戸川区,小松川,普,普通科,955,323,319,313,24,8,8,8,59,4
406250,江戸川区,江戸川,普,普通科,989,319,316,354,25,8,8,9,56,5
406260,江戸川区,小岩,普,普通科,1055,357,357,341,27,9,9,9,61,5
406270,江戸川区,葛西南,普,普通科,524,168,184,172,18,6,6,6,43,4
406280,江戸川区,篠崎,普,普通科,811,267,279,265,21,7,7,7,51,4
406290,江戸川区,紅葉川,普,普通科,733,237,233,263,19,6,6,7,43,4
406410,江東区,大江戸,…,…,…,…,…,…,…,…,…,…,…,…
406420,葛飾区,葛飾総合,総,総合学科,566,196,188,182,15,5,5,5,50,5
406620,葛飾区,葛飾商業,商,ビジネス科,597,210,193,194,18,6,6,6,45,5
406620,葛飾区,葛飾商業,…,…,…,…,…,…,…,…,…,…,…,…
406630,江東区,江東商業,商,ビジネス科,440,162,146,132,15,5,5,5,41,4
406640,江東区,第三商業,商,ビジネス科,475,166,169,140,15,5,5,5,41,4
406720,葛飾区,本所工科,…,…,…,…,…,…,…,…,…,…,…,…
406730,江東区,墨田工科,工,機械科,59,21,19,19,3,1,1,1,57,5
406730,江東区,墨田工科,工,自動車科,97,35,33,29,3,1,1,1, -, -
406730,江東区,墨田工科,工,電気科,122,54,30,38,6,2,2,2, -, -
406730,江東区,墨田工科,工,建築科,69,31,15,23,3,1,1,1, -, -
406760,江戸川区,葛西工科,工,機械科,78,26,21,31,3,1,1,1,53,4
406760,江戸川区,葛西工科,工,電子科,92,33,34,25,3,1,1,1, -, -
406760,江戸川区,葛西工科,工,建築科,157,57,53,47,6,2,2,2, -, -
406760,江戸川区,葛西工科,工,デュアルシステム科,74,27,23,24,3,1,1,1, -, -
406780,江東区,科学技術,工,科学技術科,539,158,173,208,16,5,5,6,65,5
406780,江東区,科学技術,他,創造理数科,82,42,40, -,2,1,1, -, -, -
406810,葛飾区,農産,農,園芸デザイン科,194,70,63,61,6,2,2,2,43,6
406810,葛飾区,農産,農,食品科,199,72,61,66,6,2,2,2, -, -
406910,墨田区,橘,他,産業科,542,211,170,161,18,6,6,6,64,4
407020,八王子市,富士森,普,普通科,986,317,315,354,25,8,8,9,53,4
407030,八王子市,片倉,普,造形美術コース,232,77,80,75,6,2,2,2,54,5
407030,八王子市,片倉,普,普通科,702,240,233,229,18,6,6,6, -, -
407040,八王子市,八王子東,普,普通科,939,322,312,305,24,8,8,8,59,4
407050,八王子市,八王子北,普,普通科,587,200,197,190,15,5,5,5,37,4
407070,八王子市,松が谷,普,外国語コース,239,81,80,78,6,2,2,2,55,5
407070,八王子市,松が谷,普,普通科,784,237,273,274,20,6,7,7, -, -
407080,日野市,日野,普,普通科,981,321,317,343,25,8,8,9,52,4
407090,日野市,日野台,普,普通科,941,315,314,312,24,8,8,8,54,4
407100,日野市,南平,普,普通科,943,320,316,307,24,8,8,8,52,4
407210,町田市,町田,普,普通科,948,321,311,316,24,8,8,8,58,7
407230,町田市,野津田,普,普通科,205,71,73,61,9,3,3,3,44,4
407230,町田市,野津田,福,福祉科,46,16,14,16,3,1,1,1, -, -
407230,町田市,野津田,他,体育科,85,32,24,29,3,1,1,1, -, -
407240,町田市,成瀬,普,普通科,818,279,273,266,21,7,7,7,48,4
407250,町田市,小川,普,普通科,936,318,311,307,24,8,8,8,51,5
407260,町田市,山崎,普,普通科,489,140,179,170,15,5,5,5,39,4
407420,町田市,町田総合,総,総合学科,671,234,225,212,18,6,6,6,50,4
407510,八王子市,翔陽,普,普通科（単位制）,654,193,233,228,18,6,6,6,45,4
407520,八王子市,八王子拓真,…,…,…,…,…,…,…,…,…,…,…,…
407720,町田市,町田工科,工,総合情報科,482,175,165,142,15,5,5,5,53,4
407910,八王子市,八王子桑志,他,産業科(デザイン分野),205,70,71,64,6,2,2,2,59,4
407910,八王子市,八王子桑志,他,産業科(クラフト分野),98,36,35,27,3,1,1,1, -, -
407910,八王子市,八王子桑志,他,産業科(システム情報分野),102,34,35,33,3,1,1,1, -, -
407910,八王子市,八王子桑志,他,産業科(ビジネス情報分野),184,51,71,62,6,2,2,2, -, -
408010,立川市,立川,普,普通科,842,281,286,275,21,7,7,7,56,9
408010,立川市,立川,他,創造理数科,125,42,42,41,3,1,1,1, -, -
408030,立川市,砂川,…,…,…,…,…,…,…,…,…,…,…,…
408040,昭島市,昭和,普,普通科,948,319,319,310,24,8,8,8,52,4
408050,昭島市,拝島,普,普通科,780,278,260,242,21,7,7,7,45,4
408060,東大和市,東大和,普,普通科,822,277,273,272,21,7,7,7,46,4
408070,武蔵村山市,武蔵村山,普,普通科,809,279,267,263,21,7,7,7,43,5
408090,東大和市,東大和南,普,普通科,830,279,277,274,21,7,7,7,49,5
408210,青梅市,多摩,普,普通科,392,137,133,122,15,5,5,5,40,4
408230,福生市,福生,普,普通科,820,279,277,264,21,7,7,7,49,5
408240,あきる野市,秋留台,普,普通科,623,202,222,199,18,6,6,6,53,4
408250,羽村市,羽村,普,普通科,595,194,227,174,20,6,7,7,46,5
408260,あきる野市,五日市,普,普通科,259,101,79,79,12,4,4,4,31,4
408420,青梅市,青梅総合,総,総合学科,689,237,230,222,18,6,6,6,57,5
408430,立川市,立川緑,…,…,…,…,…,…,…,…,…,…,…,…
408510,武蔵村山市,上水,普,普通科（単位制）,708,237,239,232,18,6,6,6,48,4
408710,福生市,多摩工科,工,機械科,186,70,64,52,6,2,2,2,53,5
408710,福生市,多摩工科,工,電気科,102,35,36,31,3,1,1,1, -, -
408710,福生市,多摩工科,工,環境化学科,88,31,32,25,3,1,1,1, -, -
408710,福生市,多摩工科,工,デュアルシステム科,79,31,32,16,3,1,1,1, -, -
408820,瑞穂町,瑞穂農芸,農,園芸科学科,101,37,31,33,3,1,1,1,57,7
408820,瑞穂町,瑞穂農芸,農,畜産科学科,105,36,34,35,3,1,1,1, -, -
408820,瑞穂町,瑞穂農芸,農,食品科,103,36,33,34,3,1,1,1, -, -
408820,瑞穂町,瑞穂農芸,家,生活デザイン科,192,71,56,65,6,2,2,2, -, -
409010,武蔵野市,武蔵,普,普通科,417,157,151,109,11,4,4,3,32,4
409020,武蔵野市,武蔵野北,普,普通科,714,239,239,236,18,6,6,6,38,4
409030,小金井市,小金井北,普,普通科,705,240,235,230,18,6,6,6,39,5
409040,西東京市,保谷,普,普通科,954,320,316,318,24,8,8,8,53,4
409060,東久留米市,久留米西,普,普通科,676,237,222,217,18,6,6,6,43,4
409070,西東京市,田無,普,普通科,930,318,307,305,24,8,8,8,48,4
409210,小平市,小平,普,外国語コース,245,81,78,86,6,2,2,2,52,6
409210,小平市,小平,普,普通科,631,198,239,194,16,5,6,5, -, -
409220,小平市,小平西,普,普通科,807,280,268,259,21,7,7,7,45,4
409230,東村山市,東村山,普,普通科,559,199,178,182,15,5,5,5,54,4
409240,国分寺市,国分寺,普,普通科（単位制）,952,322,317,313,24,8,8,8,63,5
409250,清瀬市,清瀬,普,普通科,868,279,280,309,22,7,7,8,49,5
409270,小平市,小平南,普,普通科,829,281,278,270,21,7,7,7,46,4
409280,東村山市,東村山西,普,普通科,626,233,203,190,18,6,6,6,41,4
409410,東久留米市,東久留米総合,総,総合学科,696,238,231,227,18,6,6,6,50,5
409710,小金井市,小金井工科,…,…,…,…,…,…,…,…,…,…,…,…
409720,西東京市,田無工科,工,機械科,157,66,46,45,6,2,2,2,52,4
409720,西東京市,田無工科,工,建築科,181,64,61,56,6,2,2,2, -, -
409720,西東京市,田無工科,工,都市工学科,81,34,22,25,3,1,1,1, -, -
409730,小金井市,多摩科学技術,工,科学技術科,634,214,207,213,18,6,6,6,61,4
410020,調布市,神代,普,普通科,944,321,313,310,24,8,8,8,50,6
410030,調布市,調布北,普,普通科,709,239,240,230,18,6,6,6,41,5
410040,調布市,調布南,普,普通科,710,238,236,236,18,6,6,6,42,4
410050,狛江市,狛江,普,普通科,995,322,355,318,25,8,9,8,56,4
410210,府中市,府中,普,普通科,863,319,275,269,22,8,7,7,47,4
410220,府中市,府中東,普,普通科,936,315,319,302,24,8,8,8,51,5
410230,府中市,府中西,普,普通科,928,314,311,303,24,8,8,8,56,4
410240,国立市,国立,普,普通科,952,318,315,319,24,8,8,8,56,5
410250,多摩市,永山,普,普通科,895,313,304,278,24,8,8,8,53,4
410410,稲城市,若葉総合,総,総合学科,667,237,225,205,18,6,6,6,49,4
410610,国立市,第五商業,商,ビジネス科,612,211,205,196,18,6,6,6,46,4
410710,府中市,府中工科,工,機械科,94,35,27,32,3,1,1,1,49,4
410710,府中市,府中工科,工,電気科,179,61,62,56,6,2,2,2, -, -
410710,府中市,府中工科,工,情報技術科,98,36,32,30,3,1,1,1, -, -
410710,府中市,府中工科,工,工業技術科,100,35,33,32,3,1,1,1, -, -
410810,府中市,農業,農,都市園芸科,105,36,36,33,3,1,1,1,60,6
410810,府中市,農業,農,緑地計画科,101,36,35,30,3,1,1,1, -, -
410810,府中市,農業,農,食品科学科,106,36,36,34,3,1,1,1, -, -
410810,府中市,農業,家,服飾科,103,36,35,32,3,1,1,1, -, -
410810,府中市,農業,家,食物科,105,35,35,35,3,1,1,1, -, -
411010,大島町,大島,普,普通科,86,29,23,34,6,2,2,2,34,9
411010,大島町,大島,農,農林科,16,4,5,7,3,1,1,1, -, -
411010,大島町,大島,家,家政科,12,4,3,5,(併),(併),(併),(併), -, -
411030,新島村,新島,普,普通科,36,18,8,10,3,1,1,1,15,5
411040,神津島村,神津,普,普通科,46,15,17,14,3,1,1,1,16,4
411910,大島町,大島海洋国際,水,海洋国際科,179,70,65,44,6,2,2,2,43,9
412010,三宅村,三宅,普,普通科,14,6,4,4,3,1,1,1,28,7
412010,三宅村,三宅,農,農業科,5,2,1,2,3,1,1,1, -, -
412010,三宅村,三宅,家,家政科,4,1,2,1,(併),(併),(併),(併), -, -
413010,八丈町,八丈,普,普通科,101,31,30,40,6,2,2,2,33,9
413010,八丈町,八丈,農,園芸科,6,1,3,2,3,1,1,1, -, -
413010,八丈町,八丈,家,家政科,4, -,1,3,(併),(併),(併),(併), -, -
414010,小笠原村,小笠原,普,普通科,53,16,12,25,3,1,1,1,16,4
合計,,,,,114997,39124,38521,37352,3174,1052,1057,1065,8272,799
