学校番号,所在地区市町村,学校名,定時制等/大学科,定時制等/小学科,定時制等/生徒数計,定時制等/生徒数/１学年,定時制等/生徒数/２学年,定時制等/生徒数/３学年,定時制等/生徒数/４学年,定時制等/学級数計,定時制等/学級数/１学年,定時制等/学級数/２学年,定時制等/学級数/３学年,定時制等/学級数/４学年,教員数,職員数
402520,新宿区,新宿山吹,普,普通科４部（単位制）,78,22,22,18,16,4,1,1,1,1, -, -
402520,新宿区,新宿山吹,情,情報科２部（単位制）,182,55,52,53,22,4,1,1,1,1, -, -
402520,新宿区,新宿山吹,情,情報科４部（単位制）,59,18,16,15,10,4,1,1,1,1, -, -
402520,新宿区,新宿山吹,通,通信制本科（普通科）,380,154,112,58,56,11,3,3,3,2,11,1
402520,新宿区,新宿山吹,通,通信制併修,10, -, -, -, -, -, -, -, -, -, -, -
402530,世田谷区,芦花,…,…,…,…,…,…,…,…,…,…,…,…,…,…
402620,渋谷区,第一商業,…,…,…,…,…,…,…,…,…,…,…,…,…,…
402750,世田谷区,総合工科,工,総合技術科,17,5,5,5,2,4,1,1,1,1,13,1
402750,世田谷区,総合工科,…,…,…,…,…,…,…,…,…,…,…,…,…,…
402810,世田谷区,園芸,農,園芸科,29,10,8,7,4,4,1,1,1,1,11, -
402810,世田谷区,園芸,…,…,…,…,…,…,…,…,…,…,…,…,…,…
402930,目黒区,国際,…,…,…,…,…,…,…,…,…,…,…,…,…,…
402940,新宿区,総合芸術,…,…,…,…,…,…,…,…,…,…,…,…,…,…
403010,中野区,鷺宮,…,…,…,…,…,…,…,…,…,…,…,…,…,…
403020,中野区,富士,…,…,…,…,…,…,…,…,…,…,…,…,…,…
403030,中野区,武蔵丘,…,…,…,…,…,…,…,…,…,…,…,…,…,…
403040,杉並区,荻窪,普,普通科１部（単位制）,289,76,85,89,39,12,3,3,3,3,70,7
403040,杉並区,荻窪,普,普通科２部（単位制）,279,74,78,81,46,12,3,3,3,3, -, -
403040,杉並区,荻窪,普,普通科３部（単位制）,111,17,36,35,23,8,2,2,2,2, -, -
403050,杉並区,西,…,…,…,…,…,…,…,…,…,…,…,…,…,…
403060,杉並区,豊多摩,…,…,…,…,…,…,…,…,…,…,…,…,…,…
403070,杉並区,杉並,…,…,…,…,…,…,…,…,…,…,…,…,…,…
403210,練馬区,石神井,…,…,…,…,…,…,…,…,…,…,…,…,…,…
403220,練馬区,井草,…,…,…,…,…,…,…,…,…,…,…,…,…,…
403230,練馬区,大泉,…,…,…,…,…,…,…,…,…,…,…,…,…,…
403240,練馬区,練馬,…,…,…,…,…,…,…,…,…,…,…,…,…,…
403250,練馬区,光丘,…,…,…,…,…,…,…,…,…,…,…,…,…,…
403280,練馬区,田柄,…,…,…,…,…,…,…,…,…,…,…,…,…,…
403410,杉並区,杉並総合,…,…,…,…,…,…,…,…,…,…,…,…,…,…
403420,中野区,稔ヶ丘,総,総合学科１部,274,86,84,78,26,12,3,3,3,3,69,6
403420,中野区,稔ヶ丘,総,総合学科２部,286,88,82,79,37,12,3,3,3,3, -, -
403420,中野区,稔ヶ丘,総,総合学科３部,199,58,55,52,34,8,2,2,2,2, -, -
403510,練馬区,大泉桜,…,…,…,…,…,…,…,…,…,…,…,…,…,…
403630,練馬区,第四商業,…,…,…,…,…,…,…,…,…,…,…,…,…,…
403710,中野区,中野工科,工,総合技術科,16,2,7,6,1,4,1,1,1,1,18, -
403710,中野区,中野工科,…,…,…,…,…,…,…,…,…,…,…,…,…,…
403720,杉並区,杉並工科,…,…,…,…,…,…,…,…,…,…,…,…,…,…
403730,練馬区,練馬工科,…,…,…,…,…,…,…,…,…,…,…,…,…,…
403810,杉並区,農芸,農,農芸科,20,6,5,5,4,4,1,1,1,1,13,1
403810,杉並区,農芸,…,…,…,…,…,…,…,…,…,…,…,…,…,…
404010,文京区,竹早,…,…,…,…,…,…,…,…,…,…,…,…,…,…
404020,文京区,向丘,…,…,…,…,…,…,…,…,…,…,…,…,…,…
404040,豊島区,豊島,普,普通科,41,17,12,6,6,4,1,1,1,1,8, -
404050,豊島区,文京,…,…,…,…,…,…,…,…,…,…,…,…,…,…
404210,板橋区,北園,…,…,…,…,…,…,…,…,…,…,…,…,…,…
404220,板橋区,板橋,…,…,…,…,…,…,…,…,…,…,…,…,…,…
404250,板橋区,大山,普,普通科,25,6,6,4,9,4,1,1,1,1,9,1
404260,板橋区,高島,…,…,…,…,…,…,…,…,…,…,…,…,…,…
404410,北区,桐ヶ丘,総,総合学科１部,201,56,58,57,30,8,2,2,2,2,56,4
404410,北区,桐ヶ丘,総,総合学科２部,215,56,57,57,45,8,2,2,2,2, -, -
404410,北区,桐ヶ丘,総,総合学科３部,184,60,50,37,37,8,2,2,2,2, -, -
404420,北区,王子総合,…,…,…,…,…,…,…,…,…,…,…,…,…,…
404510,北区,飛鳥,普,普通科（単位制）,87,16,39,29,3,7,2,2,2,1,18,2
404520,板橋区,板橋有徳,普,普通科（単位制）,46,6,17,15,8,4,1,1,1,1,13, -
404640,豊島区,千早,…,…,…,…,…,…,…,…,…,…,…,…,…,…
404710,文京区,工芸,工,マシンクラフト科,56,11,18,12,15,4,1,1,1,1,42, -
404710,文京区,工芸,工,インテリア科,59,16,25,9,9,4,1,1,1,1, -, -
404710,文京区,工芸,工,グラフィックアーツ科,101,31,27,22,21,4,1,1,1,1, -, -
404710,文京区,工芸,工,アートクラフト科,75,29,22,10,14,4,1,1,1,1, -, -
404710,文京区,工芸,…,…,…,…,…,…,…,…,…,…,…,…,…,…
404730,板橋区,北豊島工科,工,機械科,19,5,2,9,3,4,1,1,1,1,14, -
404730,板橋区,北豊島工科,…,…,…,…,…,…,…,…,…,…,…,…,…,…
404910,北区,赤羽北桜,…,…,…,…,…,…,…,…,…,…,…,…,…,…
405040,台東区,白鴎,…,…,…,…,…,…,…,…,…,…,…,…,…,…
405050,台東区,忍岡,…,…,…,…,…,…,…,…,…,…,…,…,…,…
405060,台東区,上野,…,…,…,…,…,…,…,…,…,…,…,…,…,…
405070,荒川区,竹台,…,…,…,…,…,…,…,…,…,…,…,…,…,…
405210,足立区,足立,普,普通科,65,15,24,18,8,4,1,1,1,1,16,1
405210,足立区,足立,商,商業科,39,9,14,10,6,4,1,1,1,1, -, -
405220,足立区,江北,…,…,…,…,…,…,…,…,…,…,…,…,…,…
405230,足立区,淵江,…,…,…,…,…,…,…,…,…,…,…,…,…,…
405240,足立区,足立西,…,…,…,…,…,…,…,…,…,…,…,…,…,…
405250,足立区,足立東,…,…,…,…,…,…,…,…,…,…,…,…,…,…
405260,足立区,青井,…,…,…,…,…,…,…,…,…,…,…,…,…,…
405270,足立区,足立新田,…,…,…,…,…,…,…,…,…,…,…,…,…,…
405410,中央区,晴海総合,…,…,…,…,…,…,…,…,…,…,…,…,…,…
405420,足立区,小台橋,総,総合学科１部,375,115,113,106,41,16,4,4,4,4,72,5
405420,足立区,小台橋,総,総合学科２部,344,116,120,66,42,14,4,4,3,3, -, -
405420,足立区,小台橋,総,総合学科３部,93,30,29,23,11,4,1,1,1,1, -, -
405520,台東区,浅草,普,普通科１部（単位制）,256,80,88,82,6,12,3,3,3,3,67,6
405520,台東区,浅草,普,普通科２部（単位制）,263,86,87,73,17,12,3,3,3,3, -, -
405520,台東区,浅草,普,普通科３部（単位制）,106,45,35,24,2,8,2,2,2,2, -, -
405710,台東区,蔵前工科,工,建築工学科,11,2,3,2,4,4,1,1,1,1,14, -
405710,台東区,蔵前工科,…,…,…,…,…,…,…,…,…,…,…,…,…,…
405720,荒川区,荒川工科,工,電気科,16, -,6,1,9,4,1,1,1,1,18, -
405720,荒川区,荒川工科,工,電子科,11,4,3,1,3,(併),(併),(併),(併),(併), -, -
405720,荒川区,荒川工科,…,…,…,…,…,…,…,…,…,…,…,…,…,…
405730,足立区,足立工科,…,…,…,…,…,…,…,…,…,…,…,…,…,…
406010,墨田区,両国,…,…,…,…,…,…,…,…,…,…,…,…,…,…
406020,墨田区,墨田川,…,…,…,…,…,…,…,…,…,…,…,…,…,…
406030,墨田区,本所,…,…,…,…,…,…,…,…,…,…,…,…,…,…
406040,葛飾区,葛飾野,…,…,…,…,…,…,…,…,…,…,…,…,…,…
406050,葛飾区,南葛飾,普,普通科,69,12,19,24,14,4,1,1,1,1,9, -
406070,墨田区,日本橋,…,…,…,…,…,…,…,…,…,…,…,…,…,…
406210,江東区,深川,…,…,…,…,…,…,…,…,…,…,…,…,…,…
406220,江東区,東,…,…,…,…,…,…,…,…,…,…,…,…,…,…
406230,江東区,城東,…,…,…,…,…,…,…,…,…,…,…,…,…,…
406240,江戸川区,小松川,…,…,…,…,…,…,…,…,…,…,…,…,…,…
406250,江戸川区,江戸川,普,普通科,85,18,21,19,27,4,1,1,1,1,9,1
406260,江戸川区,小岩,…,…,…,…,…,…,…,…,…,…,…,…,…,…
406270,江戸川区,葛西南,普,普通科,64,16,16,13,19,4,1,1,1,1,11, -
406280,江戸川区,篠崎,…,…,…,…,…,…,…,…,…,…,…,…,…,…
406290,江戸川区,紅葉川,…,…,…,…,…,…,…,…,…,…,…,…,…,…
406410,江東区,大江戸,総,総合学科１部,195,57,62,55,21,8,2,2,2,2,52,7
406410,江東区,大江戸,総,総合学科２部,193,58,58,53,24,8,2,2,2,2, -, -
406410,江東区,大江戸,総,総合学科３部,198,56,56,50,36,8,2,2,2,2, -, -
406420,葛飾区,葛飾総合,…,…,…,…,…,…,…,…,…,…,…,…,…,…
406620,葛飾区,葛飾商業,普,普通科,18,7,3,6,2,4,1,1,1,1,16,1
406620,葛飾区,葛飾商業,商,商業科,29,5,15,7,2,4,1,1,1,1, -, -
406630,江東区,江東商業,…,…,…,…,…,…,…,…,…,…,…,…,…,…
406640,江東区,第三商業,商,商業科,26,4,7,7,8,4,1,1,1,1,11, -
406720,葛飾区,本所工科,工,総合技術科,19,5,4,5,5,4,1,1,1,1,16, -
406730,江東区,墨田工科,工,総合技術科,27,10,8,5,4,4,1,1,1,1,19,1
406730,江東区,墨田工科,…,…,…,…,…,…,…,…,…,…,…,…,…,…
406760,江戸川区,葛西工科,…,…,…,…,…,…,…,…,…,…,…,…,…,…
406780,江東区,科学技術,…,…,…,…,…,…,…,…,…,…,…,…,…,…
406810,葛飾区,農産,農,農産科,52,21,12,12,7,4,1,1,1,1,14,1
406810,葛飾区,農産,…,…,…,…,…,…,…,…,…,…,…,…,…,…
406910,墨田区,橘,他,産業科,32,9,5,15,3,4,1,1,1,1,14, -
407020,八王子市,富士森,…,…,…,…,…,…,…,…,…,…,…,…,…,…
407030,八王子市,片倉,…,…,…,…,…,…,…,…,…,…,…,…,…,…
407040,八王子市,八王子東,…,…,…,…,…,…,…,…,…,…,…,…,…,…
407050,八王子市,八王子北,…,…,…,…,…,…,…,…,…,…,…,…,…,…
407070,八王子市,松が谷,…,…,…,…,…,…,…,…,…,…,…,…,…,…
407080,日野市,日野,…,…,…,…,…,…,…,…,…,…,…,…,…,…
407090,日野市,日野台,…,…,…,…,…,…,…,…,…,…,…,…,…,…
407100,日野市,南平,…,…,…,…,…,…,…,…,…,…,…,…,…,…
407210,町田市,町田,普,普通科,99,33,21,26,19,5,1,1,2,1,10, -
407230,町田市,野津田,…,…,…,…,…,…,…,…,…,…,…,…,…,…
407240,町田市,成瀬,…,…,…,…,…,…,…,…,…,…,…,…,…,…
407250,町田市,小川,…,…,…,…,…,…,…,…,…,…,…,…,…,…
407260,町田市,山崎,…,…,…,…,…,…,…,…,…,…,…,…,…,…
407420,町田市,町田総合,…,…,…,…,…,…,…,…,…,…,…,…,…,…
407510,八王子市,翔陽,…,…,…,…,…,…,…,…,…,…,…,…,…,…
407520,八王子市,八王子拓真,普,普通科１部（単位制）,376,126,120,114,16,16,4,4,4,4,81,5
407520,八王子市,八王子拓真,普,普通科２部（単位制）,377,117,121,109,30,16,4,4,4,4, -, -
407520,八王子市,八王子拓真,普,普通科３部（単位制）,178,47,58,50,23,8,2,2,2,2, -, -
407720,町田市,町田工科,…,…,…,…,…,…,…,…,…,…,…,…,…,…
407910,八王子市,八王子桑志,…,…,…,…,…,…,…,…,…,…,…,…,…,…
408010,立川市,立川,普,普通科,107, －,38,35,34,6, －,2,2,2,13,1
408010,立川市,立川,…,…,…,…,…,…,…,…,…,…,…,…,…,…
408030,立川市,砂川,普,普通科１部（単位制）,195,66,64,63,2,8,2,2,2,2,51,5
408030,立川市,砂川,普,普通科２部（単位制）,177,66,51,58,2,8,2,2,2,2, -, -
408030,立川市,砂川,普,普通科３部（単位制）,97,44,27,24,2,5,2,1,1,1, -, -
408030,立川市,砂川,通,通信制本科（普通科）,622,169,202,140,111,14,4,4,3,3,16,2
408030,立川市,砂川,通,通信制併修,2, -, -, -, -, -, -, -, -, -, -, -
408040,昭島市,昭和,…,…,…,…,…,…,…,…,…,…,…,…,…,…
408050,昭島市,拝島,…,…,…,…,…,…,…,…,…,…,…,…,…,…
408060,東大和市,東大和,…,…,…,…,…,…,…,…,…,…,…,…,…,…
408070,武蔵村山市,武蔵村山,…,…,…,…,…,…,…,…,…,…,…,…,…,…
408090,東大和市,東大和南,…,…,…,…,…,…,…,…,…,…,…,…,…,…
408210,青梅市,多摩,…,…,…,…,…,…,…,…,…,…,…,…,…,…
408230,福生市,福生,普,普通科,66,17,17,23,9,4,1,1,1,1,9, -
408240,あきる野市,秋留台,…,…,…,…,…,…,…,…,…,…,…,…,…,…
408250,羽村市,羽村,…,…,…,…,…,…,…,…,…,…,…,…,…,…
408260,あきる野市,五日市,普,普通科,26,9,6,8,3,4,1,1,1,1,10,2
408420,青梅市,青梅総合,総,総合学科,145,44,52,34,15,12,3,3,3,3,32, -
408430,立川市,立川緑,総,総合学科１部,57,57, -, -, -,2,2, -, -, -,26,8
408430,立川市,立川緑,総,総合学科２部,55,55, -, -, -,2,2, -, -, -, -, -
408430,立川市,立川緑,総,総合学科３部,59,59, -, -, -,2,2, -, -, -, -, -
408510,武蔵村山市,上水,…,…,…,…,…,…,…,…,…,…,…,…,…,…
408710,福生市,多摩工科,…,…,…,…,…,…,…,…,…,…,…,…,…,…
408820,瑞穂町,瑞穂農芸,普,普通科,14,8,3,2,1,4,1,1,1,1,12,1
408820,瑞穂町,瑞穂農芸,農,農業科,25,8,6,6,5,(併),(併),(併),(併),(併), -, -
408820,瑞穂町,瑞穂農芸,…,…,…,…,…,…,…,…,…,…,…,…,…,…
409010,武蔵野市,武蔵,…,…,…,…,…,…,…,…,…,…,…,…,…,…
409020,武蔵野市,武蔵野北,…,…,…,…,…,…,…,…,…,…,…,…,…,…
409030,小金井市,小金井北,…,…,…,…,…,…,…,…,…,…,…,…,…,…
409040,西東京市,保谷,…,…,…,…,…,…,…,…,…,…,…,…,…,…
409060,東久留米市,久留米西,…,…,…,…,…,…,…,…,…,…,…,…,…,…
409070,西東京市,田無,…,…,…,…,…,…,…,…,…,…,…,…,…,…
409210,小平市,小平,…,…,…,…,…,…,…,…,…,…,…,…,…,…
409220,小平市,小平西,…,…,…,…,…,…,…,…,…,…,…,…,…,…
409230,東村山市,東村山,…,…,…,…,…,…,…,…,…,…,…,…,…,…
409240,国分寺市,国分寺,…,…,…,…,…,…,…,…,…,…,…,…,…,…
409250,清瀬市,清瀬,…,…,…,…,…,…,…,…,…,…,…,…,…,…
409270,小平市,小平南,…,…,…,…,…,…,…,…,…,…,…,…,…,…
409280,東村山市,東村山西,…,…,…,…,…,…,…,…,…,…,…,…,…,…
409410,東久留米市,東久留米総合,総,総合学科,96,34,29,17,16,8,2,2,2,2,16,1
409710,小金井市,小金井工科,工,機械科,25,4,5,6,10,4,1,1,1,1,22,2
409710,小金井市,小金井工科,工,電気科,12,3,3,2,4,4,1,1,1,1, -, -
409710,小金井市,小金井工科,工,電子科,17,5,4,5,3,(併),(併),(併),(併),(併), -, -
409720,西東京市,田無工科,…,…,…,…,…,…,…,…,…,…,…,…,…,…
409730,小金井市,多摩科学技術,…,…,…,…,…,…,…,…,…,…,…,…,…,…
410020,調布市,神代,普,普通科,59,25,20,9,5,4,1,1,1,1,9, -
410030,調布市,調布北,…,…,…,…,…,…,…,…,…,…,…,…,…,…
410040,調布市,調布南,…,…,…,…,…,…,…,…,…,…,…,…,…,…
410050,狛江市,狛江,…,…,…,…,…,…,…,…,…,…,…,…,…,…
410210,府中市,府中,…,…,…,…,…,…,…,…,…,…,…,…,…,…
410220,府中市,府中東,…,…,…,…,…,…,…,…,…,…,…,…,…,…
410230,府中市,府中西,…,…,…,…,…,…,…,…,…,…,…,…,…,…
410240,国立市,国立,…,…,…,…,…,…,…,…,…,…,…,…,…,…
410250,多摩市,永山,…,…,…,…,…,…,…,…,…,…,…,…,…,…
410410,稲城市,若葉総合,…,…,…,…,…,…,…,…,…,…,…,…,…,…
410610,国立市,第五商業,商,商業科,36,16,8,7,5,4,1,1,1,1,11, -
410710,府中市,府中工科,…,…,…,…,…,…,…,…,…,…,…,…,…,…
410810,府中市,農業,普,普通科,37,11,11,6,9,4,1,1,1,1,17,2
410810,府中市,農業,農,食品化学科,28,10,7,7,4,4,1,1,1,1, -, -
410810,府中市,農業,…,…,…,…,…,…,…,…,…,…,…,…,…,…
411010,大島町,大島,普,普通科,7,2,2,1,2,4,1,1,1,1,9, -
411010,大島町,大島,…,…,…,…,…,…,…,…,…,…,…,…,…,…
411030,新島村,新島,…,…,…,…,…,…,…,…,…,…,…,…,…,…
411040,神津島村,神津,…,…,…,…,…,…,…,…,…,…,…,…,…,…
411910,大島町,大島海洋国際,…,…,…,…,…,…,…,…,…,…,…,…,…,…
412010,三宅村,三宅,…,…,…,…,…,…,…,…,…,…,…,…,…,…
413010,八丈町,八丈,普,普通科,11,3,3,2,3,4,1,1,1,1,8,1
413010,八丈町,八丈,…,…,…,…,…,…,…,…,…,…,…,…,…,…
414010,小笠原村,小笠原,…,…,…,…,…,…,…,…,…,…,…,…,…,…
合計,,,,,10357,3188,3084,2758,1327,563,145,140,140,138,1358,98
